TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,
"I think that's a really important point Katy and something you know, I know our, our strategy is increasingly leaning into API S but I don't think an API partners, they don't have this solved either. Right. And it's something that we have to figure out on our end.",API, Business strategy, Partners, Business challenge,,,,,,,,,,,,,,
"And then just a side note too, since we're on the topic. But like the suggested search terms, which is something we've, you know, we actually are doing with Albertsons. We've also seen a lot of issues with it in terms of, if they don't have everything mapped accurately and you as a user go in and add the suggested search term and it's not mapped to all the products, it could actually missfire against some certain products. And we've had that actually cause a mix of under deliveries. [Limitation]",Limitation, Errors or Issues, Search terms / Keywords, Albertsons, Data challenge, Products,,,,,,,,,,,,
"So I don't know if we went that route and continued with how we're doing the suggested search terms, but we built it, I still feel like there are some bugs that would need to be fixed. And that just because it's not like bulletproof.",,,,,,,,,,,,,,,,,,
"Ok. So once we have all this submitted, that's where our team will then come in and create either in the platform [AdManager]. So from here, we'll know whether the retailer or the brand team exists or if it's a net new retailer, we'll create a new team. For some of the slower platforms like Target the team actually traffics directly through the Pacvue interface. Just so because they can do things three times as fast as that Target UI [AdManager instance].",Pacvue, Retailers, Target, AdManager,,,,,,,,,,,,,,
"But then our team will come in here, they'll create the wallets that are necessary. Again, cross checking the IO and you'll see that we can have hundreds of thousands of wallets. So this is Kraft every quarter, they break it out. We have to create a new wallet. We then have to either duplicate the campaigns and tie it to the new wallets because we lose historical data if we don't. [Limitation]",Limitation, Kraft (Heinz/Kraft), Insertion Order (IO),,,,,,,,,,,,,,,
So that also then slows teams down because then we have 4000 campaigns by Q4 [forth quarter] within that team.,,,,,,,,,,,,,,,,,,
"We then have to individually invite all of our offshore team members, all of our onshore team members, the API partners. So Pacvue, if they're going to use them, we have a user name for them. And then also the brand itself as a supplier view [in AdManager]. So this has 105 people and because we have no bulk way of doing that, it is an offshore person single-handedly going through from a spreadsheet of a roster and one-by-one entering the appropriate user name. [Limitation]",Bulk actions, Limitation, AdManager, Pacvue, Excel, API,,,,,,,,,,,,
"From an Ad Op's perspective, it also slows down our UI's. So, I know that's a open problem statement because we have to be in every single team self-serve and manage service from a sales lead perspective. Tammy needs to be able to see every team and detail so that we can provide the optimisations and suggestions to them. Otherwise, we have no insight into how things are performing.",UI, Managed service, Poor experience,,,,,,,,,,,,,,,
"Once trafficked, we'll confirm it back. Placements [IO] will then start syncing and seeing data from the platform and showing delivery OI, so where we are per line item in the platform. So we have specific naming conventions as you can see on our wallets. This is the Placements [IO] ID, contract ID and then the last number there is the line item ID in Placements [IO]. So those are the two things that Katie [McNinney] has built into DataGrid and into our API connection with placements to be able to appropriately tie line items back to contracts.",DataGrid, Placements, AdManager, Contracts, Placements IO, API,,,,,,,,,,,,
"And then to the wallet and to the line items in the platform. So if I go into Kraft [in AdManager], even our campaign names include all of that. So that the different campaigns tied to the appropriate wallets and tied to the appropriate contract, which ties to the appropriate Placements [IO] line item, which ties to the appropriate SalesForce contract.",Kraft (Heinz/Kraft), Wallets, Contracts, Placements IO, AdManager, Campaigns, SalesForce,,,,,,,,,,,
"Additionally, if we have off-site as well, they're using a similar naming convention so that we can do a hack for Unified Reporting. And they can see if we have that. And then if they're utilising off-site as well, there will be an advanced reporting button here [at top of Campaign Manager screen in AdManager] that they can kick out and see the appropriate campaigns. [Hack or Workaround]",Reporting, Campaigns, AdManager, Hack or Workaround, Aggregated reporting, Off-site,,,,,,,,,,,,
"Once it is live, we then don't really do anything in the platform.",,,,,,,,,,,,,,,,,,
Until we go to one of these several dashboards here in DataGrid. So we have zero concept or understanding of how a campaign is pacing until we come into the dashboard [Pacing Dashboard in DataGrid].,DataGrid, Pacing,,,,,,,,,,,,,,,,
So this is what our pacing dashboard looks like.,,,,,,,,,,,,,,,,,,
"You can choose a retailer from there [in DataGrid], it'll filter down to the appropriate trafficker which is defined at the placements level. I can also look at a specific seller. So Tammy can come in here and just choose her campaigns or I can choose a specific CSM. I can then see the different levels that we have. So managed is our team is handling it. Self-serve means that they are 100% doing it themselves. And guided self-serve is someone like a Publicis agency who is spending a million dollars but want to run it themselves, their agency, but we will give them additional service of optimisations how to use the platform, walk throughs, things like that just because of their level of spend.",Publicis, Agencies, Campaigns, Managed service, Optimisation, DataGrid, Spend, Retailers, Placements, Self-serve,,,,,,,,
We have an indication here of when the data was last updated. So we're pretty much stuck if this doesn't update.,,,,,,,,,,,,,,,,,,
We have really no concept especially in Q4 of how things are going.,,,,,,,,,,,,,,,,,,
"And then there's different levels here. So we can see the pipeline, what the opportunity name is from SalesForce, what the line item name is from Placements [IO], what a wallet count is. So if it's Grocery One and we have the multiple UI's of grocery, Hy-Vee and you know, we're going to have Freshops soon. We can see that it's running across all three UI's. That's the indication to us. This is how we determine if there's a problem. So last day of impressions, if it's not yesterday, then something's wrong. If it should be live and delivering, last day of spends, line item start date, line item end date from PIO line item booked from PIO, the remaining wallet balance from the platform. How much of it is completed [in Completed column in DataGrid]. What we should be at in order to deliver in full [in % Needed to be Completed column in DataGrid]. And then that's just the dollar amount. Where we should have spent. Our estimated total delivery based on the last 7 day’s worth of data. So this is constantly changing. If we get it into a better spot, that'll obviously go down. And then this [Estimated Under Delivery column] helps to determine our estimated over and under delivery. These two are again, only off the last 7 days’ worth of data. And then the average daily spend. Average 7 day daily spend. So here I can see that, you know, we've made some changes, and we need to figure that out. And then the average daily spend we need to hit in order to complete the contract in full by the end date. And then it just pulls in some high-level metrics here [e.g. Impressions, Clicks, ROAS and Conversions].",UI, ROAS, Grocery, Placements IO, Manual effort, Conversion Rates, Grocery Network / Grocery One, Spend, SalesForce, Business challenge, Metrics, Impressions,,,,,,
"And also we can see again, then who the owner of the CSM, the trafficker, what the service type is, the account. And then these are the line item media plan ID's for us to traffic off of.",,,,,,,,,,,,,,,,,,
"We also have a media plan dashboard [in DataGrid] which is the quick view for us to see, so we don't have to go into SalesForce, into Placements [IO] and into the contract, how things are set up. So this is all pulling directly in and we can see all of the line item start dates, how it's going to be billed. So if we have a FTA line item, we can see that it's going to be fixed. If it's a banner that's running on a CPM [Cost Per Mille, thousand], we can see that. And then also if it's going to be CPC, so search, we can see that. Down here [in Transaction History] we can also see when wallets were topped up. If there's any sort of discrepancy. And then also it creates for the offshore team, the naming conventions for the wallet by concatenating all the appropriate information so that the data integrity is good there. Any questions on pacing?",DataGrid, SalesForce, Placements IO, CPM (Cost Per Mille/Thousand), Contracts, Banners, Wallets, Managed service, FTA (Fixed Tenancy Ads), Billing, CPC (Cost Per Click),,,,,,,
OK. So we would export that. I would then filter it [in DataGrid] - I think I have one open that I can show you - by largest underdelivery. And that's how the team determines through the platform which they need to focus on.,DataGrid, Managed service, Performance,,,,,,,,,,,,,,,
"We would come in here [Campaign Manager in AdManager]. Where we're lacking right now is our understanding of where the bid is at winning. No one knows that. So it's a guess in the dark of where that is. And if we do see that it's based in the last 30 days’ worth of data, but people are changing bids every hour of every day. So it's not helpful to have it in the last 30 days. [Limitation]",AdManager, Managed service, Campaigns, Bidding, Limitation,,,,,,,,,,,,,
"We also then would look here [at campaign line items and Search terms in AdManager] and I know I've been begging for this, but I don't understand which SKU's are performing good against which search terms. So I can't optimise for performance that way. We only see products or search terms and we kind of have to guess as to what's happening in the background there. [Limitation]",AdManager, SKU, Search terms / Keywords, Limitation,,,,,,,,,,,,,,
"If we - I think Ahold has this turned on - but we can see [search terms] volume, we may change [bids] because we all know 'Mac and Cheese' is going to be the most searched here. So I might then come in and individually change that bid up to ensure that I'm winning for that. I would go to Stop and Shop [retailer website for this Ahold brand]. I would search my search terms, see if we're even showing up on the [SPA search results] grid and then try and force it through. But then we have the CTR component of our algorithm which we don't have insight into. So that becomes hard to try and push things forward and spend the budget. [Limitation]",CTR (Click Thru Rate), Retailers, Search terms / Keywords, Limitation, SPA (Sponsored Product Ads), Bidding, Ahold Delhaize,,,,,,,,,,,
"And then as you can see, it's not suggesting me any keywords [in AdManager] that I might be missing so that I have to sit there and Google, go to Stop and Shop [retailer website for this Ahold brand] and see how they describe the project. Sometimes we go to Walmart [website] and see how they describe the product, put in 2 misspelling places. I can call this [Mac & Cheese campaign] a dinner, an easy snack, a microwave meal, things like that. So it becomes this really extrapolated process of someone physically sitting there trying to think of every possible keyword they can to deliver the budgets that we have sold and also run as much money through our platform as possible. Tori, any insight from your end on your process there. [Limitation] [Manual effort]",AdManager, Limitation, Search terms / Keywords, Budget, Manual effort, Walmart, Ahold Delhaize,,,,,,,,,,,
"Yeah. So we've taken, I mean, I created a report that basically pulls in Ad requests that we've gotten from Albertson's and it covers off on 85% of the Ad requests. And it's a little over 8000 keywords. And we've manually mapped those all to categories. So we basically have a report that takes those keywords with the categories. And then it does a look up based off of, let's say we were looking at digging into this Kraft campaign. It would say it would do a 'V' look up to say like, hey, is this? It'll say yes if it's in the campaign or not. And then I'd be like, OK, well, I'm in [the campaign]. I'd go to like the lowest category possible. So if I was in like, if there was a 'Mac and Cheese' category, I don't think there is, it's called like a noodles category. I'd filter them on noodles and then I would see like, OK, instead of Katy trying to shoot in the dark, I would at least have what is actually being searched on Albertson's website. And then potentially see what's, what's like able to be added to the campaign. But again, just like Katy was saying, it is an extremely manual process, but it is really the only way that we can get additional keywords added. [Limitation] [Manual effort]",Managed service, Hack or Workaround, Search terms / Keywords, Manual effort, Limitation, Ad requests, Albertsons,,,,,,,,,,,
"And just before Dean, calling you, it's also extremely hard to understand which keyword group a particular term is a part of.",,,,,,,,,,,,,,,,,,
"So if Tammy is trying to take a shot in the dark and see if we're using 'Mac and Cheese', she then has to filter and hope that we named it 'Mac and Cheese' and figure out which of these [from AdManager campaigns], it that term is in.",Campaigns, Understanding vague, AdManager,,,,,,,,,,,,,,,
"Yeah, like which campaign is it relevant to.",,,,,,,,,,,,,,,,,,
"I mean, I would say for an operations person even we have media, like on Tori's team, they have SPA strategists.",,,,,,,,,,,,,,,,,,
"From operations we can't spend 100% of our time here [in AdManager optimising campaigns]. We don't have enough time in a day to even look at these because we have to figure out how to deliver banners. We have to figure out how to traffic campaigns. Make sure that things are going live. We pull reporting, we get things there. But I mean, someone could spend their entire eight-hour workday on a single campaign digging into keywords and that's all they would get through. Especially something like a Pepsi or a Conagra or a Kraft who own 90% of the grocery store.",Managed service, Campaigns, Pepsico, AdManager, Optimisation, Conagra Brands, Grocery, Search terms / Keywords,,,,,,,,,,
"One of my search strategists I think spent her entire day digging into an alcohol brand like a self-serve guy to see what keywords he had missed because he did have a lot. He just had a lot of campaigns set up and then to make it simpler for, because, you know, like Katy saying, we need to make it simple for self-serve guys to execute otherwise they're not going to execute. So then she had to do the work to say it should go into this campaign to ensure that his campaign wasn't going to get rejected. So it's just a lot of manual. [Limitation] [Manual effort]",Manual effort, Search terms / Keywords, Campaigns, Limitation, Self-serve,,,,,,,,,,,,,
"There's definitely keywords that are more valuable, like obviously milk cheese, eggs, butter on a grocery website are going to be searched more. But that means the competition is going to be higher.",Search terms / Keywords, Opportunity,,,,,,,,,,,,,,,,
So to win those is not going to be as easy. And that's where you have to really get into the mid-tail and long-tail keywords because that's where your budget could possibly spend more. Just because the competition and space is available on a website is not there.,Business challenge, Spend, Search terms / Keywords, Bidding, Budget, Competitor,,,,,,,,,,,,
Oh absolutely.,,,,,,,,,,,,,,,,,,
"Yeah, we strive for like we have category benchmarks, but if we drop below like 200% we will hear from the client in terms of return on Ad spend [ROAS]. So you can see here like we've placed a daily cap on some of these line items ['daily' flag appears against Budget for campiagns in AdManager]. So obviously, keyword typically performs the best. But then when you get on someone like a homepage or a past purchase or a PDP [spend strategy], those gain a lot of impressions and generally a lot of clicks, but they're harder to convert on. So they'll spend majority of the money. So when we think of a setup strategy, we'll always run keyword uncapped at the line item level and then start with a percentage cap towards the other placements.",Managed service, Budget, Bench-marking, Campaigns, AdManager, ROAS,,,,,,,,,,,,
"But then we also, to not potentially blow through the entire budget, we have wallet caps on every single wallet.",,,,,,,,,,,,,,,,,,
"That's also super manual to manage [wallets] because we have no concept of the budget in there or the start and end date. So yes, it does stop if we go over one day. But we do have to go in there quite a bit and make changes. And then specifically for heavy up-periods, our team has to manually go through every single wallet and change the dollar amounts to ensure we spend more and then pull it back because if we can't secure incremental dollars, we have to run the campaign throughout the duration of the contract. So we do definitely think about performance when making optimisations. [Limitation] [Manual effort]",Manual effort, Limitation, Wallets, Spend Limits / Cap-outs,,,,,,,,,,,,,,
"I think that also comes into, Katy when you're talking about like performance on keywords and products against those like being able to see that type of reporting. Because sometimes it might be pulling out a product against a keyword. If it is like a keyword like cheese or milk, maybe you have better performing products against those keywords that are very highly sought after and have high CPC’s that you want to be a bit more strategic. And then you can have maybe all of your other products be bidding on all the other-mid to long-tail [keywords]. So you are still getting visibility to all products, but maybe you are a little bit more strategic. But not having visibility to how products are performing against keywords, makes it difficult to look at that. Like we have to pull one off reporting for it. [Limitation]",Limitation, Performance, Reporting, Products, Gap (Product or Service),,,,,,,,,,,,,
And I would say that's where our bid by keyword is lacking a little bit. Like we do have to manually put that in. But there's also no concept of SKU mapping towards those keywords. So we still have to create another group to separate those out and bid strategy different against those keywords and product groupings. [Limitation] [Manual effort],Manual effort, Limitation, Bidding, Optimisation,,,,,,,,,,,,,,
"If we're managing it, we can come up with how the SKU mapping should go.",,,,,,,,,,,,,,,,,,
"But it does need to make sense for how the search grid appears on the site. So like we can't use like I said earlier, milk against Oreos unless we have specifically the cross-sell placement set up on the site. So the terms must fit into the appropriate category in order to deliver.",,,,,,,,,,,,,,,,,,
"Yeah, we do all the approving and things like that on our end if it's managed service and even are the ones who are making the decision for self-serve campaigns that come through.",Approvals,,,,,,,,,,,,,,,,,
The only category that Albertson's is a little bit weary about is 'fresh' [produce] category.,Albertsons, Categories,,,,,,,,,,,,,,,,
"So like, like strawberry, they wouldn't want strawberry milk or strawberry popsicles. Like they've loosened it a little bit. Like they were very much like any fresh terms, actually, the consumers looking for fresh products. So that's what we want to feed. We did see a drop in business when we did that. So they loosened it up a little bit more.",Albertsons, Categories, Buyer behaviour,,,,,,,,,,,,,,,
"But I don't know if any other retailers Katy have those type of restrictions, but that would be the only thing we run into.",,,,,,,,,,,,,,,,,,
"Yeah, Target will sometimes reach out to us and say, hey, we don't love this. So can you reject the campaign?",,,,,,,,,,,,,,,,,,
"But one thing about our rejection is it doesn't actually stop the campaign. It still does the previous version. So we have to reach out to a self-serve person, tell them they must remove it and resubmit the campaign. But if we reject something, it should stop the entire campaign, not do the previous version. [Limitation] [Manual effort]",Approvals, Limitation, Manual effort,,,,,,,,,,,,,,,
"Through Pacvue and on Target, we use their bid optimisation tools [e.g. Optimisation Rules in Pacvue]. And this is particularly useful for first-price auctions or our discount scheme, auction type. Just because we have to touch those a lot more and manually go in and go up and down on the bids versus the second-price auction where we can set the max and the platform does that bidding for us.",Pacvue, Competitor advantage,,,,,,,,,,,,,,,,
So this is what that looks like.,,,,,,,,,,,,,,,,,,
We had come in here [in Pacvue] and create rules.,,,,,,,,,,,,,,,,,,
"Let me see. Here's one, send it.",,,,,,,,,,,,,,,,,,
"We can set up the dates we want it to run [by editing Rule in Pacvue]. Send an email to the Op's team or whoever you would like. Every time it needs to run a rule. We apply at the wallet level or in here. It's called a campaign tag. And then it'll ask us what we would like to run that rule off of. So this one is if you know it clicks go over this increase the bid by 6% but we have a cap of $4.50. It's going to look to run this rule every three days and exclude - this is just a limitation from Pacvue - the last 2 days’ worth of data. Oh, sorry. It looks at the last three days excluding less. So it's doing the third day and then it's running every two days at 11 a.m. if the rule applies to those particular campaigns. One thing with this though, and I know Henri has submitted a ticket that if you run this rule through here [Optimisation Rule in Pacvue], but you have utilised the bid by keyword [in AdManager], it only updates the singular top bid, not the keywords below it. And then you cannot adjust the keywords any further from - I'm trying to find one so I can show you - you can no longer update the bid from this section [Quick edit popup against a campaign in AdManager]. You have to go to the campaign report, go in individually all the way back through the workflow and apply the bids to every single term. So that's a miss on our API. And I imagine we're losing money off of it because if someone wants to increase their bid, it's not applying it to every keyword. So it's not actually increasing bids. [Limitation] [Manual effort]",Limitation, AdManager, Pacvue, Manual effort, Competitor advantage,,,,,,,,,,,,,
So just something to look out there. Also in Pacvue - so we use that a lot - we can also day-part in Pacvue. So we have a particular brand Waterloo who only wants to run their Seltzer campaign on goPuff between the hours of 3 p.m. and midnight because that's when the traffic is at the highest peak on goPuff and they don't have an unlimited budget. So we can set up things like that.,Pacvue, goPuff, Budget, Day-parting, Competitor advantage,,,,,,,,,,,,,
