TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,,
"We take a lot from DSP and that's a very paced. I think it's Google Ad Manager now is what it's called, it was called DSP before or I'm completely lying. Obviously, Google operates a lot of the forecasting and pacing capabilities. They've got a lot more PHD’s [experienced people] than us. So Google's obviously the big benchmark there where they do... if you over-deliver [on Google] for a day, they'll [GAM] under-deliver you on others until it comes out about right at the end because that's really what the brand cares about.",Google Ad Manager (GAM), Bench-marking, Pacing, Competitor advantage, Brands, Forecasting,,,,,,,,,,,,,
"Well, they're doing terribly because there's no budget spent [shared Uni Co’s icecream campaigns on AdManager]. No. Ok, so I'm going to just wing it. I want to spend about $2000 a month on these campaigns. Now, these are all daily spends because that's what I opened up to the demo platform, but let's just run with it.",,,,,,,,,,,,,,,,,,,
"I feel it's time heavy but it's the best way to manage, to spend to go across multiple days effectively without burning it up at once.",Spend, Business strategy,,,,,,,,,,,,,,,,,
"I don't know, weeks. It's a good question.",,,,,,,,,,,,,,,,,,,
"All right. So I guess it comes down to the strategy. You have new product launches, which you want to push hard because you want market share very quick. Those are your heavy spenders because you need to get ahead of Mondelez and the others. You just need people to know that it exists. So those are your aggressive spends and there'd be a couple of weeks to a couple of months depending on how much support you've got from the retailer, and how much visibility, and how your campaigns are performing before you change them back to like a business as usual model. You have kind of like an Always On [spend] approach where you obviously want to continue advertising. But it's less about winning all the time and more about just being around when it shows up [Ad serving]. Those I guess would be all less actively paced in terms of backfill's the wrong word, but it's more like sitting behind in the auction when other people lose out or it's not a strong competition you appear you spend, but it's not a bit about spending a ton. And then you've obviously got your specials, [promotional] pushes and things like that. So if my products on special, I obviously want to advertise it like crazy to get more sales while it's on special.",Ad requests, Support, Pacing, Campaigns, Business strategy, Mondelez, Products, Promotions, Ad serving, Auctions, Access, Sales, Spend, Performance,,,,,
Were any of those answers to the question or did I just talk?,,,,,,,,,,,,,,,,,,,
"If it's allowed, is a good one. So, Woolworths manage the wallets. I think they've changed their approach a little bit. They used to manage it by category. Sorry, I know I've gone off on a tangent.",Woolworths, Operations, Wallets,,,,,,,,,,,,,,,,
"So, we have retailers that do it by brand. Retailers that do it by [campaign] line-item. It's really the US which I'm sure you guys are going to talk to how they get a committed spend of this amount. So, the wallet is this amount. So, you never spend more than that amount across a various amount of campaigns. Then you do get a very rare purchase order approach which is same as line-item actually, but I won't go into it then. In terms of self-managed wallets, Woolworths are a lot more playing around with it now. Where you have like yogurt Always On is one of them, but it still is somewhat of a category-based approach, there's just a variation of it. Not too sure on Coles.",Retailers, Spend, Operations, Contracts, Self-serve, Coles, Categories, Campaigns, Wallets,,,,,,,,,,
"Yes. It's literally named 'Yogurt Always On'. It's for like Line, Dairy and Drinks.",,,,,,,,,,,,,,,,,,,
"Like [$]30,000 [for Uni Co] to be honest, because I was looking into it recently.",,,,,,,,,,,,,,,,,,,
"So, Woolworth operate on the credit limit functionality. So, it just resets to like $0 and you just get to spend up to [$]40,000 in the next billing period because they post-paid bill you.",Pricing structure, Operations, Contracts, Woolworths,,,,,,,,,,,,,,,
"Go with Ice Tea [campaign]. Actually, it's a demo environment [of AdManager], I'm going to duplicate because something's going to be wiggy.",,,,,,,,,,,,,,,,,,,
"I could try. Ok, so we have, obviously I've selected a product Ad I want to appear on the category pages. I have my campaign name, which is clearly very well thought out. Now the period of the campaign is active is, let's just pretend this is a Halloween one, right? It's pretty close. So, I want it live over the month of October till October 31st. That's when all my share bags and lollies go on special like crazy. But that kind of approach. So, I want to spend up until Halloween. I obviously don't want it to spend beyond Halloween, and that's why I put an end date on. I'd like it to spend quite heavily, obviously. I'd like it to not run out of money in the first week because then obviously my competitors get all of the appearance over this high importance time and I've picked this retailer because I like know for a fact, I've got Magnums [ice cream products] in there. Did you have any more questions on the setting screen?",Campaigns, Categories, Spend, Products, Seasonal, Competitor,,,,,,,,,,,,,
"I don't to be honest. It's definitely like some of the special summer for NPD [New Product Development] and things like that, but I wouldn't consider myself a good information point.",NPD (New Product Development),,,,,,,,,,,,,,,,,,
"New product development. So, a new product?",,,,,,,,,,,,,,,,,,,
"No, I understand what you mean. So, optimising. Yeah. So, good ones [brands] do because they should be checking how their products are doing within [in-flight], and culling out the lower performing ones to make sure that your high performing ones are better. Some, it's really varied depending on strategy, unfortunately. If they're all good, then yes, pushing your best products to the top will get like a better click through rate [CTR] and things. But it really depends on the advertisers strategy.",Brands, Performance, Optimisation, AdManager, Campaigns, Products,,,,,,,,,,,,,
"Ok. So, in this case, obviously, I'm still winging it. But if I saw something like this [Daily spend option selected], I would theorise that they have a cap on the wallet. Cap is probably the wrong word, but they have a certain amount of money in the wallet and they're capping it to a daily spend so that they can pace along. If a supplier has like a fixed value [amount] of money they want for, I don't know October or similar in this case, like I want here, my Halloween. Like I've segregated off [allocated] $5000 just for Halloween advertising. Then in that case, it would be $9000 [budget], probably not realistic. Probably like [$]20,000 or something. And here's where I've set my maximum spend per day [of $1000 and max CPC of $12] to make sure that I appear tomorrow as well and et cetera.",Campaigns, Wallets, Spend, Pacing, Brands, Spend Limits / Cap-outs, Business challenge,,,,,,,,,,,,
"So, I guess one big thing to note if you are interviewing Nectar and Woolworths suppliers is that they don't have the option available. You're probably aware that we don't. Nectar and Woolworths don't show daily spend to suppliers. And the reason for that being that giving people the option to limit how much money they spend per day is obviously revenue limitation. Now, it's interesting because they're [brands] like budget pacing and things like that and I recognise that as well. But yeah, when you do talk to the suppliers, they might be like, oh, we didn't know it was there.",Brands, Budget, Woolworths, Pacing, Spend, Operations, Nectar360, Knowledge gap,,,,,,,,,,,
"Yeah, so Always On [spend option in the UI], funnily enough is Always On. You can't turn it off, but Daily in Total [spend] can be turned on and off. There's a tick boxing AdManager Admin for Always On. I don't know why they put it in there because it's not wired up. But anyway, it's not the purpose of today. But yeah, I'm going to be honest, I forgot the original question.",Spend, Recommendation, AdManager,,,,,,,,,,,,,,,,
No we take away the option.,,,,,,,,,,,,,,,,,,,
"Yeah. And that was one of the things I was going to bring up. Our system in its current implementation is very designed off... I'm unsure whether to say caps or triggers, but basically limits. So, if you're like, I want to spend $1000 in the day as soon as we hit it, that's it. We don't think like, so you want to spend $1000, it's 24 hours. Traffic deviates to about 40% of total, I don't know, 60% of your traffic between 9 a.m. and 3 p.m. kind of thing. Like we have none of that smart. It's literally like the campaign has hit budget yes or no kind of thing. Including that Always On or Total spend kind of thing where you're like, I want to spend [$]10,000 for this campaign. It's literally [with daily spend limits] like, can it spend, yes or no?",Buyer behaviour, Budget, AdManager, Spend Limits / Cap-outs,,,,,,,,,,,,,,,
"That's a hell of a Stevie [W] question. Ok, so I'm trying to think smart ones [brands] catch up with Steven every two weeks to month to basically go over how they're performing. You've got really in-depth ones that use like the quick edit in reporting and things like that to up their bid when they see them dropping. Then you've obviously got your set-and-forget ones [brands], which is just Always On 1000 bucks [$1000] for this month, come back next month and see how I did.",Routine activity, Budget, Brands, Optimisation, Spend,,,,,,,,,,,,,,
"Look? Not too much. I really like the sliders in the fixed spend option. But that's just because I put them in there and it's really cool. But, I've heard Woolies after day-partying before, which is really funny because when we probed them on why there was just one guy that's like, oh, other platforms do it. And well, that's not really a good why. So, we have, as you probably looked at in the fixed spend, we have the maximum hourly spend. And it's a percentage just because that's how it worked back on the tech side. The only reason I'd be careful with that is advertisers wouldn't consider setting a spend of like 30[%] or 40% for a reason of traffic variation. So, if you do introduce that level of cap, try and keep that in mind.",Consideration, Woolworths, Day-parting, Spend, Spend Limits / Cap-outs,,,,,,,,,,,,,,
It does exist in the fix spend. I'm just loading it up in another window but getting the US portal to load takes some time. I'm not saying it's a good option. I just really like the slider.,,,,,,,,,,,,,,,,,,,
"That's a damn good question actually because yes, it was very reactive introduction. So when we launched Mi9 [US retailer software company] at the end of 2019, they went from DSP Google Ad Manager kind of thing where you do pace out all your money. So, we did fixed spend and that was where they've got a committed budget from a brand. And instead of our auction system, it did just in a campaign as a fixed spend. Then we introduced maximum daily spend so that we'd pace them. Very similar idea to this where you know, this is the maximum this account's going to spend per day. Then we have, I'm trying to open up a campaign over here. Yeah, you fixed spend, we'll go to this one [shared a Anheuser-Busch campaign example].",Campaigns, Auctions, Google Ad Manager (GAM), AdManager, Spend Limits / Cap-outs, Pacing, Spend,,,,,,,,,,,,
"Well, this is quite frustrating, right? You saw nothing, you see nothing, you see nothing you see no fact that our retailer review flag up here is governed by front end.",,,,,,,,,,,,,,,,,,,
"Anyway, so I'm just trying to get into that UI stage. We basically have, you know, how much do you want to spend? What are your impressions? Now, this operates on a different system. We can't surface how much exactly do you want to spend to suppliers and things like that? But it should show you my really cool slider when it feels like loading.",AdManager, Spend, Impressions, Gap (Product or Service),,,,,,,,,,,,,,,
"No, it kind of goes through how like the hourly pacing works. It's a spend percentage. It was a bit strange that we went to percentage. I think it was just the easiest for us to calculate. It's going pretty slow at the moment. Yeah, I did see a mock up where like it's like, did you want to spend a maximum per day in like the total spend? And that's kind of an interesting approach. It would probably be easier given it leans on triggers, but obviously, maybe it's not the best.",AdManager, Spend Limits / Cap-outs, Pacing,,,,,,,,,,,,,,,,
"Tons. But that's also probably because... I can't see now. But there's a fair amount on fixed spend. Like years worth. But a good question would always be why in terms of is it just the way of working? All right, here's fixed spend [shared a US instance of Campaign Strategy setup screen]. So, we have fixed impressions [e.g. 41500], fixed cost per impressions [e.g. $ 0.008]. Really what that's doing is we tested this feature. And I'm sorry, this does go away from your pacing questions. The use case for this feature was I've got a brand committed to spend $332. Really they bought 42,000 impressions from us for a fixed cost, but the committed spend is this. We need a way to spend that in the system. This pretty much just straight-up says this campaign only sends, only spends 0.8 of a cent. And then we have these options to pace them out [max daily spend and select hourly spend slider]. So, if I've got 30 days of spending, I should say my maximum daily spend is, oh, I don't know what, just over 10 bucks or $12. Then if it's only spending that at 4 a.m. we can also pace out the hourly spend to, you know, it's only going to spend a maximum of 35% of the daily spend [using the hourly spend slider]. These are pretty like Ad Op's triggers and, I guess it's your probably first time seeing this. How clear is it to you, how it works?",Managed service, Spend, Pacing, Impressions, Spend Limits / Cap-outs,,,,,,,,,,,,,,
"Well Woolworths won't know that this exists. There's like a 50% chance that Woolworths have never seen this, right?",,,,,,,,,,,,,,,,,,,
"Yes, I definitely wouldn't do the top part [set impressions] because that's around like fixed agreements. And this is a retailer made campaign. The maximum hourly spend threshold. Yeah, it's possible. I'd be interested to hear Woolworth's opinion on further revenue limiting because like you're just letting suppliers spend less per day. Now, you're probably right, like it should pace it out and it does operate on the similar pattern in our system of caps or triggers instead of automatic [setup]. Like I want to spend $50 per day and if you spend $60 one day, spend [$]40 the next kind of thing.",Impressions, Woolworths, Spend Limits / Cap-outs, Spend, AdManager,,,,,,,,,,,,,,
"Yes, correct. It was once [for] Mi9. Katy [A] has been here for a very long time and I assume you're probably speaking to her at some point. Yeah, if not, you should. Ali would be your best at like this is ok for this reason, but it really sucks for A, B and C. She is very good at knowledge of our system, from an actual like Ad Operations perspective. So, she has a lot of good insight on like, yeah, we did this, and it just sucks. So, we don't use it anymore. And you'll be like, what!",Managed service, AdManager,,,,,,,,,,,,,,,,,
"Like maximum hourly spend was around, to be honest, I think it was only about a sprint maybe two [of development effort] at the time. Do note that this operates in a percentage and that's not that clear, in my opinion that you're talking a percentage of the daily budget. Obviously extending an exact pattern to another spend type it's a lot easier because like, I expect it to work in exactly this way. So that maybe it is an easy win. But I'd stick to if Woolworths would want to slash if all of our like, advertisers would see value in it.",Spend, Performance, Woolworths, Understanding vague, AdManager,,,,,,,,,,,,,,
"Ok. So fixed spend campaigns are another interesting one. That was their first slider after we got rid of sliders, funnily enough. Yeah, so fixed spend banners are... they were built before fixed tenancy. For the record about a year before. And this is pretty much when an Ad generation request comes in, I know I'm going straight all the way over there [set campaign priority to maximum of 10 in the slider]. There's pretty much just a like is there any priority 10 campaigns for this? Yes. No. And then check in there if it's a Yes, they get that like we don't even look for [Ad placement spots] 9, 8, 7, 6. It's just literally like which level on the shelf are you. And I'm trying to grab from the top shelf first.",Spend, Placements, Woolworths, Understanding vague, AdManager,,,,,,,,,,,,,,
"Yeah. Well, the only reason it's retailer used is because it's underneath fixed spend, and fixed spend only, I'd say. It's not so much like, oh, this sucks for supplies. And I know that probably contradicts what I said before. It's just always been a management option underneath fixed spend and we've never extended it out otherwise. I'm sure you've seen a lot of it in our product where it's like, why is this over here and not everywhere else? Because we put it over there.",Spend Limits / Cap-outs, AdManager,,,,,,,,,,,,,,,,,
"I know it comes from other people's ideas. I know there's a bit of commotion around wallet budgets, but it is fair. So, we have retailers where your wallets are, like if we take Woolworths as your prime example, like maybe you don't want to set up 15 campaigns to spend X amount per day. You just have them all [campaigns] with their set spends and they work off like a wallet cap per day. So, I want to spend 45 grand [$45,000] a month on yogurt. I don't know why you would. But anyway, it really comes down to your suppliers. Like do they want to actively manage this many budgets or do you just want to say the wallet can spend a maximum of this much per day? Again, I didn't answer your question that well, but like I'm interested about wallet caps [limits], right.",Business decision, Wallets, Budget, Spend Limits / Cap-outs,,,,,,,,,,,,,,,
"Yeah, I guess I have a lot of insight to how they operate in the US. They got one X amount of money and they spend so much time trying to pull all these levers around campaigns trying to make sure you spend the money evenly in an auction system across like the active period. And it sounds exhausting. I guess it's worth finding out how many campaigns get optimised because Woolworths might be very unique where, you know, you've got four yogurt campaigns. But I know across the globe we have just so many granular campaigns where you're really like grouping them into multiple types and it just sounds exhausting to manage them uniquely.",Managed service, USA, Optimisation, Campaigns, Spend Limits / Cap-outs, Manual effort,,,,,,,,,,,,,
"It is the reason we put that sneaky little pencil in [pencil/edit icon to the campaign dashboard table to allow brands to edit their max bids inline]. Like a lot of a big on impression share and return on Ad spend [ROAS]. So, I guess as an agency I get employed to get a set return on ad spend for Kraft. That's how I [an agency] get Krafts' money. They don't really want to hear about all these buzzwords. They're just like, look, you can have my $10,000 if you turn it into $30,000, kind of thing. So, return on Ad spends a massive point for brands to keep up. They want impression share. So, I'm sure you guys are aware like impression shares, literally how many impressions did you get out of how many you should have got, or were available? So we're not sure we got them. So as a brand, I obviously want to see my impressions, clicks, conversions and sales, but really it's about ok, so I need my return on Ad spend [ROAS] is looking a little bit low. How do I get that higher? And that's probably when they talk to Steven [Horne] themselves and they say, ok, how can I make more money from my money? And he might actually suggest you know, drop your bids over here and raise them over there when you're looking at an aggregate view. And that would be like you're bidding too much on chocolate, but chocolates actually, like you pay 30% less for the keyword. Yes, there's less traffic but you're not bidding enough to win all the traffic. So, I think that came out of your suggested search terms stuff Sarah, where you had one advertiser. It's like I actually go for all the misspellings because I'm not spending an absolute ton of money. Like I'm going to spend the money anyway, but I make more money off my money if I go for these like alternative strategies. So, some of them will drop their high paying bids and put more money into their lower.",Search terms / Keywords, AdManager, Business strategy, Conversion Rates, Advice and guidance, Agencies, Spend, Kraft (Heinz/Kraft), Expectations, ROAS, Campaigns, Impressions, Bidding, Sales,,,,,
"So, there's a few things if I have an endless budget and I just need more impressions. The quickest way to do that is to just up my [max] bid. So that's what this fancy quick edit modal is. It's genuinely like, it's not an embed of the strategy stage, but it kind of is. So, the quickest way is obviously, oh, I need to up my bid, so I'm going to up the bid and click save [in the Quick Edit Modal]. Otherwise, if my campaign is going underneath and I'm a little bit confused as to why. I can, hopefully this should actually give me a lot more Ads. Oh, it's got none. Beautiful. Never mind back to banners. Obviously, we have the campaign report page. So that's how I can see how it's doing. So, if it had a massive drop off or something like that, I can kind of diagnose. To my understanding, it's a lot about return on Ad spend and impression share.",Impressions, Performance, Business strategy, ROAS, Guidance, Campaigns, Reporting, Budget, Bidding,,,,,,,,,,
"If I need to spend more money, yes. Because it's to be honest, it's the only trigger we have.",,,,,,,,,,,,,,,,,,,
"Yeah, it's an interesting one. So, if you're winning, but you want to keep winning, then you're probably going to put in a total or daily spend. If you're winning, but you're ok to risk losing you, you just drop your [max] bid. Like if I go from 4 cents to 3 cents, let's see how much I win. So, advertisers with the time to actually check, might drop the bid in the morning and come back in the afternoon and seeing if they just completely dropped off to their competitors. If not, then they're like, sweet. I'm paying my maximum is less. Now, you got the whole second price option business where like maybe they're actually only paying 1 cent per click. But those are kind of the triggers that we have available. I'm very interested to see what advertisers say about this because we are quite simple in terms of what you have available instead of like all these massive triggers like optimising audiences and things like that.",Spend, Optimisation, Bidding, Brands, Routine activity,,,,,,,,,,,,,,
"Yeah, I'd expect it to be so. Checking how much money you spent and checking how it's performing. Because if your ROAS is going down then you kind of probably need to reconsider. If you're trying for a higher ROAS and it's dropping after some optimisations you've made, then you probably are going to be like, oh what do I do now?",Preference, Performance, Brands, Spend, ROAS,,,,,,,,,,,,,,
"I will, I talk a lot good.",,,,,,,,,,,,,,,,,,,
"Common in the big ones [to check campaign performance regularly]. So, like Uni Co is that big that they have one [account manager] dedicated to Coles and one dedicated to Woolies kind of thing, which is wild. But ok, a bigger problem campaign pacing aside. So yes, the big ones do and it'll kind of just cascade down as the size of the business goes down. So, you might have a marketing manager who spends less time in AdManager but still comes into AdManager kind of thing and manages across Google ads, whatever. Like talks to Dan Murphy's on the phone about a [Point-Of-Sale display] board in the store. One thing retailers’ struggle with which part of suggested search room as well was like, tier 3 suppliers are [require] too much support for the revenue they build for a lot of retailers. And that was one of those suggested search things [improvements] because I get emails from tier 3 suppliers like which keywords can I go against, I only want to spend 30 cents on chocolate. And then like Woolworths [account managers] are like, well I can't really help you there unless you target all these little ones [keywords]. See it kind of goes down to in order of size of business. There definitely are people dedicated to AdManager or online execution, for example, just on Coles.",Brands, Business challenge, Woolworths, Coles, Campaigns, Routine activity, Performance, Guidance, AdManager, Support, Pacing, Revenue,,,,,,,
"I'd assume it's easing the pain because these dedicated managers are hopefully smart enough to mess with our system. Now it might help them on their like business as usual campaigns where they just kind of just want to spend X amount. They're not really driving new sales, they're not trying to like push forward the specialist product. I see good value in that where like, I just want to spend 10 grand [$10,000] across March. Just go and see how you go. Like I see this is a massive one for agencies because agencies work off that. Like, it needs to spend all across these days and we've had Nectar [Nectar360, UK] ask as well. Like, can you just turn on daily spend for agencies and no one else? So, they again would be a good resource because they're playing with big, big English money [brands and agencies] if that makes sense, like big agencies, bigger audiences. Agencies are always asking about daily spend because they want to pace out the campaigns.",Sales, Retailers, Expectations, Spend, Pacing, Campaigns, Value or belief, Brands, Nectar360, Agencies,,,,,,,,,
"Yeah. So there's some, I don't properly like yet. I want to appear evenly every day because you're spending the same amount of money. That's something you hear. But it's probably a matter of like, so what's the actual problem? I think spending all your money in the first 10 days is a bit like, that's kind of where the problem starts. Where they're like, I've spent all my money.",Pacing, Budget, Day-parting, Spend,,,,,,,,,,,,,,,
"Yeah, I agree. Like, I want to spend $30 a day and I'm going to get mad when you spend [$]40. Well, you shouldn't look at the US then where we spend much more over that.",,,,,,,,,,,,,,,,,,,
"I told you there would be gotchas. But I told you like, I think I finally get it and you're like, I have never seen this in my life.",,,,,,,,,,,,,,,,,,,
Internal or external?,,,,,,,,,,,,,,,,,,,
"I don't think budget pacing is a thing for a OXO's.  So, you could get away with talking to Alice or Zara and Nectar[360]. Probably just run by Bruce [A, AdManager], like, Jimmy suggested this so that they're obviously they have their own client success managers as well. Operate in a similar way to Woolies where Woolworth’s have a whole team dedicated to it instead of someone et cetera working on it. So, Alice probably isn't as in the weeds, but she could likely divert you to Zara, who's one of her success manager, kind of thing. That'd be my go-to is probably because I've been closer to Sainsbury's. Katy [A] is a good resource for the US because she deals with all of the Ad Operations and therefore, I'm sure she'll give you a hell of a lot of information about how much work they do just to see if a campaign is pacing. Like it is wild to me. Like we pay Sempo or at least we used to, I'm talking about things I haven't heard an update in six months, but like we pay an offshore company to do a bunch of checks and balances kind of thing.",Woolworths, Sainsburys, AdManager, Operations, OXO, Managed service, Follow-up,,,,,,,,,,,,
"Oh, yeah, that would be worth it. Linda would be a good one. Because the amount of time she's been here. She's been across trying to manage Argos. She's been across Sainsbury's, and still is. And of course OXO, especially when they were managing tier 3 brands and they wanted to spend like £50 a month. I'm not sure, we're talking tier 3, like mom and dad's distillery kind of thing.",Follow-up, Sainsburys, OXO, UK,,,,,,,,,,,,,,,
Like I made up the number but that was kind of like very low budgets and still had support.,,,,,,,,,,,,,,,,,,,
"It'd be worth talking to David S from Techkie Data. I don't know if they pace but they're a fantastic case of people that have used our system the same way for like two years. They're our own internal staff members but Tech Data kind of operates just on their own. Like it's an integration that hasn't been touched in two years but it just works and they have their own dedicated way of working. They talk to a bunch of like... it's business to business [B2B] electronics. So, I'd be interested to hear how and if they pace because they do get committed, you know, $10,000 from HP France. And it would be worth asking Ok, do you need to pace that or do you just need it to spend money?",B2B, Follow-up, Europe, Brands,,,,,,,,,,,,,,,
I think that's it.,,,,,,,,,,,,,,,,,,,
That's me.,,,,,,,,,,,,,,,,,,,
"I'm a feeling feeling great, healthy, happy, cool. Thats how you, how you feel?",,,,,,,,,,,,,,,,,,,
"Can I replace? Happy with hungry, hungry?",,,,,,,,,,,,,,,,,,,
"2 and a half years been a AdManager a doing pretty much the same thing. Although the last year it's been Coles only. And I think it's been more intense like there's been a little bit more involved in that as, as opposed to just client success. It's been a managing Coles from an account management point of view. So there's things like helping bugs, try to get some data to them. I think, an example of that is I'm sending weekly wallet balances to them to answer some financial reporting they want to do. So yeah, an evolving role. But yeah, generally speaking, it's 2 and a half years, similar stuff.",,,,,,,,,,,,,,,,,,,
"No, it's going to Coles. So Coles want their finance team to recognise spend based on costs that have actually been incurred, not on top-ups. Which means they have to know how [wallet] balances are moving. So, I guess it might help them a bit but it's not going to be perfect.",Spend, Retailer needs, Wallets, Operations, Coles,,,,,,,,,,,,,,
Today.,,,,,,,,,,,,,,,,,,,
"A few things. One was a demo. I was basically teaching Church & Dwight how to use the platform. In the morning I was optimising with Arnott’s Group. So that was, giving some suggestions, seeing how their accounts' tracking on. Just then, the meeting before was Vega, which was a combination of a demo and optimisations at the same time, which is a bit of a stretch for me. So I hopefully I'm not too tired here, flustered, but that was a big one. Yeah, so that's three different meetings I had today on different use cases. Most of it's about training.",AdManager, Training, Optimisation, Campaigns, Brands, Managed service,,,,,,,,,,,,,
"The campaigns, I'm supposed to make is part of their packages which they schedule - Coles, by the way, this is Coles - schedule out weekly. I think that is roughly about 5 campaigns per week. The rest of it I'm not supposed to create. It's supposed to be supplier self-service. I'm just there to give them suggestions. They make the changes. So legally speaking, I don't make changes.",Routine activity, Self-serve, Advice and guidance, Campaigns, Coles,,,,,,,,,,,,,,
"Yeah, this is Coles probably taking advantage of me but it's called a fixed tenancy Ad [FTA]. So that's pretty much acting like a guaranteed spot for a fixed amount of time as a banner Ad. So they're trying to move some of that stuff over to AdManager. So it's not taking all the workload... it's loosening the workload of their own [Coles] staff which have to build it from scratch. It's like they use a management center which means they're not dragging and dropping stuff in and typing into text boxes. They're [Coles team] literally building websites and little parts of the website as well. So yeah, it's just to help them alleviate some workload until we get this stuff made by suppliers in future, which I think is the broader goal.",Placements, Scaling, FTA (Fixed Tenancy Ads), Coles, Managed service, AdManager, Staffing or Resourcing, Support,,,,,,,,,,,
"Alright, so the core funds, they have a required spend. So I'm not trying to get additional spend out of them [brands]. They have Ad dollars to spend for the financial year. A lot of them try to allocate this based on where the revenue is coming from. So right now, I think based on Coles recent financials, it's like 5% of total sales come from online [retail media]. So they would take 5% of their total advertising budget for Coles and use it online. I think then that's how most of them operate. And then it's just a matter of how much of that budget does it, do they allocate to AdManager? And how much they allocate to, you know, packages like we were just talking about. So, as far as like deciding on what a budget looks like, I tend to use... It's not budget pacing, it's literally just looking at how much does a dairy product, for example, a milk product spend on a weekly basis. And I try to use the most recent reporting to give myself the best idea of what things cost now. That'll be essentially how I come up with a budget for them [brands].",Business decision, Categories, Pacing, Spend, Budget, AdManager, Brands, Routine activity, Products, Coles,,,,,,,,,
"No, it's based on products. So you've got the category like milk, for example, that can be advertised on several campaigns at once. You can have home page Ads, Aisles, Search terms. So I don't like budgeting based on a campaign. I like budgeting based on how much does that one product spend, wherever it's advertised. How much does it spend? So, yeah, I do it based on product.",Products, Budget, Categories, Campaigns, Preference, Business norm,,,,,,,,,,,,,
"I think Google does it [bid and campaign pacing]. I only kind of do a daily span. They do day-parting. That's the only technology that I have used that's not AdManager. I'm curious, unless you're talking about how many people on different retailers on AdManager.",Google Ad Manager (GAM), Day-parting, Competitor advantage, Pacing,,,,,,,,,,,,,,,
"Yeah, I think everyone's got their own constraint. So I've worked on four retailers, I believe. So, everyone's got a that and I think budget pacing is much more important where you've got a lot of budget and I guess you don't want to burn through it all. Because you want to allocate some of it to some of your smaller brands or what-not. So I think I've seen daily spending used by Colgate. That's a good example. I think they would really benefit from budget pacing, specifically. Just because they put 20 grand [$20,000] in, can get spent [use completely] in two weeks when they actually budgeted for 2 months spend, right. So they applied daily spends instead, but daily spending just doesn't give them Ads the whole day. It gives them Ads at the start of whenever they activated their campaign. That a really confusing part of daily spending, by the way. They activate based on a rolling 24-hour window* rather than a start of the day, type thing. So, a reason why I think day-parting at the very least would be handy for that daily spending. But campaign budget pacing and whatever would, would probably solve that as well.",Overspending, Business challenge, Spend Limits / Cap-outs, Understanding vague, Spend, Colgate-Palmolive, Day-parting, Budget, Pacing, AdManager,,,,,,,,,
"I don't optimise, I don't do any work. They [brands] make the changes. We're a self-service platform, Sarah. Yeah, I'll share my screen. If you want me to.",,,,,,,,,,,,,,,,,,,
"Yeah, I've talked about Colgate. I may as well show you it.",,,,,,,,,,,,,,,,,,,
