TRANSCRIPTION,TAGS,,,,,,,,,,,
So let me know where you want to start.,,,,,,,,,,,,
"So if that's the case, then this tension within the retailer is necessary otherwise the business goes belly up. And so when you're in there pitching, you've got to think through which are these guys. I mean guys in the widest sense because if they're traders, immediately that's going to kick the decision out and it's going to push things out. Because the people involved, their incentives are not aligned to considerable retail the network. Because immediately when they're talking to you – and I must have interviewed about 50 people in who were trying to set up retail media networks over the last year and a half. And this is how they speak because they’re in the moment talking about deals, deals, deals. And you're like well, you know networks and blah, blah, blah, and sponsored search, and you know and here's how to think about this And I'm technology agnostic and they're just like, yeah, yeah, whatever. How are we going to get more money off these guys in the trade side?",Retailers, Knowledge gap, Ad Tech, Operations, Tiers (customers), Trade marketing/spend, Mental models,,,,,
"So they're entrenched in their thinking that you can't break them out because they're incentives aren't there. They're never going to change their incentives. Our clients Superdrug finally went live yesterday, the 15th of November. We started dealing with some January 2002. And his biggest problem was not that it was a bad idea, was because the chief exec was like “Oh, I buy in technology to do what? Because I already get money from the suppliers”. And so they haven't kind of pivoted it in their head to those days are over. And it's one of the things when I'm talking in detail, particularly in my socials, when I do go and say like can you not see. I'm talking marketing people don't see it either which is like those days are over. There is no CFO in L’Oreal, [or] Unilever that are going to say “You know what we should keep doing. We should just keep shovelling cash into this business under the guise of trade money and never get anything back”. Because they don't, Superdrug told me, straight up. What information do you give them? Nothing. Why do you not give me information? Because it sucks. Like if they do a CRM e-mail blast, it costs 30 grand [$30k] and they get no sales. That's true for everybody.",Pharmacy, Brands, Knowledge gap, Retailers, Business challenge, Missed opportunities, Business norm, Mental models,,,,
"Now, one of the things I do as my side hustle, I do a lot of teaching and training. And one of the things I've done a lot of teaching and training in is e-mail marketing. Because I was head of marketing for an airline. And we had 300,000 [customers] on our database. So I know how to run e-mail campaigns. If you can't get a sale out of an e-mail campaign in health and beauty, you're an idiot. And obviously I don't say this to the clients, but I'm like “What? You don't get any sales at all from your CRM?”. It turns out that's run by a bunch of people who don't know jack shit about e-mail [campaigns], and they just sell them the slot. So they're not that interested in creating value for the supplier. They're interested in getting money off the supplier. So, am I answering your question a little bit there because what I want to move on to the brand and shopper stuff.",Opportunity, Knowledge gap, Training, Advice and guidance, Sales, Email programmes,,,,,,
"Yeah because it came up that, when we found out the industry themes, we went through about 50 industry papers and did a meta-analysis. Then we interviewed our VP’s on 4 continents and look, this is what we're hearing. And they said “Yeah, we're kind of hearing the same”. There's some guys [brands and retailers] are great. Like you say, the strategic guys. They're not thinking about immediate money. They're thinking about that long-tail growth like build audience, build awareness, build the experience and then look at the revenue coming in. As opposed to the guys who are going to go “Yeah, where's the money tomorrow and let's squeeze the brands for more money now”. And it's a really funny one because, I thought it might be just the small guy. But it's rife through-out the industry. There is no [common] profile.",,,,,,,,,,,,
"It's retailers [behaviour]. And the mad bit is the same in Latin America, it's the same in Turkey, it's the same in Ireland, it's the same in Australia. The one place that's not quite as prevalent as the US. But it's still prevalent.",Mental models, Routine activity, Retailers,,,,,,,,,
"Again within the brands, you see you're haven’t been that person on both sides of the fence because I used to be Head of Marketing and retail, and I was also the supplier. If you've got what I call market power – Nestle, Procter & Gamble – you can kind of say that. But everybody else forget it. It's like [from retailers] “Do you want the listing or not? Yes or no?”.",Brands, Business challenge,,,,,,,,,,
"And these trading folks as you know are they're not exactly like the… – they’re deliberately hired to be assholes, you know. I'm looking at some quotes I got, so I'll be able to kind of give you those quotes in a second. But it's like, if you're at the top ten [brands] in the world, even still you can't kind of really mess around. Now even within that as you know, the supplier, they’re dealing with an account manager [on the retailer side]. They're not dealing with a brand guy. Well it's a brand gal typically because most of the marketing and these organisations run by brands, their senior management is marketing is all female – around the globe like New Zealand, Australia, Ireland. So the brand folks [are] on that. The shopper folks are removed from this picture and there are just dealing with the trade folk. And the brand guys – because I come from this background – don't want to be kind of fumbling in the greasy till of actual commercial deals. They want to flute around [focus] with TV campaigns. Mark, I think I might have hopefully tried to answer that for you there.",Brands, Trade marketing/spend, Account management, Retailers, Shopper marketing/spend, Brand marketing/spend,,,,,,
"Let me give you an example within Superdrug. So within Superdrug, they're second-tier brand is one called Revolution Makeup, or something like that. But this is one of these kind of new hip [brands] –  I'm obviously not target market for the makeup game. But one of these new hip makeup brands over the last five years – completely different to L’Oreal or whatever. And they've grown. They were like nothing 10 years ago. Now they're 200 million [dollars in revenue]. And, if they're selling into Superdrug, all they care about is distribution because that's what happens in at the point-of-sale. So if they [Superdrug] say “Give us money”, they're like, “Yeah, great, no problem”. Because they [brand] can't afford TV. They don't have market power. Now it's a different scale. I've talked to CVS in the US when I was there, and they've got like some ridiculous amount of stores – like 9000 stores, but even them, they're not that good in the tech stack. And the main problem is their internal machinations is not desire to go do stuff. And also the brands at that scale, it's not even about market power. It's because there isn't one central person running everything, Do you know what I mean? Because it's just too big.",Brands, Retailers, Cosmetics, Business challenge,,,,,,,,
"Even I can't find them half the time. And the person in SuperValu in Ireland, it took three months to find out [the right contact person] and like it shouldn't take that difficult. It was only through a contact that I found out. So Mark, what was the second question again?",Business challenge,,,,,,,,,,,
"The second one is around the decision making around how to spend and some of them have gone “It's like it's too hard, there's too much. I'll just pick the top five”. Especially in the States. It's going like “I’ll just go to Amazon”.",,,,,,,,,,,,
"So again I got to state the obvious, but it's just to make sure because you always kind of have to get everybody on the same page. I think. So the way to think about it is media is always bought locally. So what happens in Spain, stays in Spain. In other words, if I'm a brand in Spain, I'm buying in Spain. I've run pan-European campaigns on TV and all that sort of stuff. We never ever did cross-border stuff. The media buying agencies cannot in in London, cannot buy in France. They don't do it. It's just not possible. And so, when it comes to that statement about like, how do we choose, you actually have to think about it purely on a local basis. So if I'm in Turkey and you say, how do I choose? Well, there is no choice because there's Hepsiburada and there's Migros or Mimada, and there's one other whose name I can't pronounce. That's it. You know, if you want to do fast delivery, it's get here. That's it. There's no other choices for you to use retail media.",Agency, Business norm, Media buying, Regional,,,,,,,,
"So you have to kind of split it out by country, and you cannot make this error of the brand don’t know how to choose. Because there might be “A” no choice or “B” the one filter on this is that Amazon is not that mature. Say for instance in Australia it's not that mature. So therefore the issue of who do I choose just doesn't come up.",Media buying, Brands, Amazon, Business challenge,,,,,,,,
"Now, in the US, it's a thing [choosing only the top RMN’s]. It's definitely a thing “How do I choose between all the retailers out there?”. Well, the answer becomes pretty straight-forward, because you're either lazy and you just say “Right, we can only deal with three or four and that's it”. Or particularly if you're vertically focused – like if you're L’Oreal – you're going to have to deal with Ulta [Beauty], whether you like it or not. And so you can't go and say “Well, I'm only dealing with Amazon, Target, you know, Walmart and Kroger because they're my biggest ones”. Well, no, I can do better deals with Ulta.",Health & Beauty, Brands, Walmart,  L'Oreal, USA, Cosmetics, Target, Business norm, Amazon, Kroger, Media buying,
"By the way, this is one of the things we say to retailers that we're dealing with is you need to have a positioning in the market that's compelling. You can't just go and launch a retail media network, which sounds obvious to you guys, but you'd be amazed. You know, basic marketing 101. So it is a thing [spending only within the top RMN’s]. But I would primarily think like that with your hat on in the US and only a little bit in the UK. And like if you were said to me that in France, I'd be like well like look at the, look at the market power of Carrefour, Amazon, who else, say Auchan and so on. Then that's a different question. So it's definitely local [media buying] discussion every time.",Business strategy, Advice and guidance, Retailers, Europe, USA, UK,,,,,,
"And also just as an aside, like we've found it difficult in breaking into France. And I should know this because they used to be the head of marketing for a big telco brand of France. And it's like what happens in France is in France, you know. It's just the way it is. And that's because the media business, as you know, being owned by Publicis is super powerful. Did that answer that Mark?",Publicis, Europe, Business challenge,,,,,,,,,
It did. Yeah. Thanks for that.,,,,,,,,,,,,
"I'm going to read you out some things. I'll give you a two stories that might help you, OK. So I did a long workshop with a couple of brands just in the last four or five months. Even for me, working with the retailers is a bit challenging because they take so long to make the decisions and they don't realise that they've going to have a problem and I think it's just about installing tech.",,,,,,,,,,,,
"So who take, say, the conversation I had a Luxembourg with Ferraro. And Ferraro is not just Ferraro Rocher, but also Nutella and they've just bought this huge biscuit brands in the UK, United Biscuits. And they've bought… they've got a tonne of brands that you go, “Oh yeah, I know those all those brands”. And there was 100 people from the e-commerce team in the room and what their problem was there were different levels of capability within the e-commerce teams around the globe. So guess what, the US team is experts. So they end up having the US team talking, and they had the UK team talking. But everybody else is sitting there going what's going on? And the Chinese guy sitting on his phone, as usual. Because the Chinese guys are like “What the hell are we talking about here guys? This is stuff I was doing five years ago”. So within the organisations they [brands] have a capability challenge and then subset to that, the penetration of eComm or e-retail in particular is, is not as you think it's going to be.",Expertise, Knowledge gap, UK, Asia, Brands, eCommerce marketing/spend, Advice and guidance,,,,,
"So for instance, in Spain, Portugal, Italy and France, as the guys from Colgate told me, as soon as COVID went away, everybody went back to the stores and stopped buying online because they want to see the products and they want to be able to touch and feel the products. And so you're like, OK, so you're back to the big countries, the France’s and you know, Germany and so on. So they [Colgate] told me specifically that the retail media investment across all markets has delivered a total ROAS of 400%. As a result, retail media will go from 4% of Total Media spend in 2021 to 9% of total spend in 2023. And they're getting a 2.27 ROAS. But the only way they can measure – $2.27 – the only way they were able to measure that was to MMM [Marketing Mix Modelling] in the US, only on Amazon.",Europe, Brands, Amazon, Performance, ROAS, Budget, USA, Business growth, Buyer behaviour, Spend,,
"So from your perspective, this is where we kind of shift over to the brand discussion. The brands are under pressure to show our ROI, ROAS across channels, for reasons I'll talk about in a second. And it's important. But, they can't measure across channels correctly. And the only one who has the data for long enough is Amazon. So they end up using Amazon as the benchmark for better, for worse, you know. Then we talk say this is L’Oreal, by the way. L’Oreal are taking a global approach with on-site teams, bidding teams and programmatic teams. A retailer has to work with all three [L’Oreal] teams as well as the brand team. So L’Oreal are a pain to deal with for a lot of the brands because they're all over this. I know Lex Zanger Bradshaw [Chief Marketing & Digital Officer, L'Oréal South Asia Pacific, Middle East & North Africa] out of Singapore quite well because he got me into the [Retail Media] training. And he said it was very interesting how hard-ass they were. They were like “Those retailers!”. And the reason he was able to speak like that is, of course, if you look at the L’Oreal brands, they got market power. Yeah, they got stuff people want. And so they're aggressive on this because they know their power in the market.",Metrics, Data challenge, eCommerce marketing/spend, Brands, On-site,  L'Oreal, Business growth, Business challenge, ROAS, Training, ROI, Amazon
"Well let's look at Beiersdorf. So Beiersdorf have basically moved everything into in-house. They've gone completely enhanced retail media, but they still believe their agencies. So they know it's part of the overall comms plan. So this is weird dynamic. Beiersdorf want to run retail media in-house – particularly sponsored products, sponsored display. And then they go to their own media agency and say “Hey guys, this is what we're doing. You might want to think about it in your plans that we've already briefed”. So that's a complete inversion of how the world used to work.",Agency, Banners, Business strategy, Brands, SPA (Sponsored Product Ads),,,,,,,
"Coty [quote that Fred read], “We see real opportunity to drive precision marketing and drive closed loop measurement. We're setting up a best-practise Centre of Excellence in Paris, where the local radio media managers feed in”. Back to L’Oreal. The retail media is in their case is on-site search and it the actual retail media manager job in the retailer is very, very difficult because you've got to wrangle budget from each of these teams and sort them all out amongst themselves. So again, from the retailer's perspective, life isn't easy for them once they set up the retail media network. Each supplier has their own MO [Modus Operandi – ways of working] and they got to think about the world through each individual suppliers MO in order to hit their budget targets. But typically what's happened is they've [retail media manager] been told to hit a target and then they've got to go “Oh my God, I've got to have like 30 different discussions at 30 different drug business plans”.",Business challenge, Health & Beauty, On-site, Business growth, Brands,  L'Oreal, Retailers, Budget,,,,
"I've got one more thing on that one. The one who we're all finding the easiest to deal with is Unilever. Unilever’s all in on this [retail media]. And they've got very good teams around the globe on this and a real softly, softly on the whole thing. They're like “Let's work together, you know, blah, blah, blah”. So they're all over it [the opportunity]. So they also love fast delivery. Are you guys in fast delivery? Are Quick Delivery much?",Delivery services, Unilever, eCommerce marketing/spend, Business strategy, Brands,,,,,,,
"Yeah, all those guys, are you in there?",,,,,,,,,,,,
"Just again from the perspective of you know, it's a belt and braces. The Unilever’s and Pepsi’s [brand types] and people of this world, they like this fast delivery. And because all of these fast delivery things are new opportunities to sell. New opportunities to for the customer to buy. So me, sitting on a sofa on a Friday night vegging out going through Netflix. He's too much of A lazy bastard to get up off the sofa and go to the fridge and put on the oven. Instead gets on his phone and goes [click, click, click] and orders something in. And that person on the phone is a different person to the person who goes to the local shop. And so they spend more, and they'll throw in ice-creams, and they'll throw in this. Or I'm working in the office, and I say “Hey, it's boiling hot, get in the ice-creams. But, everybody's too lazy to go downstairs and go get the ice-cream. So they'll deliver. And so these new opportunities to purchase mean that the fast delivery, quick delivery is here to stay. And actually I think the Ad opportunity in that in sponsored product response to display is actually bigger, if you will, for the for the suppliers compared to say grocery where it's kind of like a transactional big shop.",Buyer behaviour, SPA (Sponsored Product Ads), Banners, Future opportunity, Unilever, Delivery services, Pepsico,,,,,
"Yeah, it's a bigger cart. Where this one’s [fast delivery], a shorter, smaller car.t So you got the missions are different. Are you guys familiar with Unilever shopper missions? OK, you really should know this. Shopper Missions is a way to think about the world that Unilever did a couple of years ago and it's very, very clever. And you should start thinking about the world in that language. Hold on a second, I’ll see if I can find it for you. OK, I’ll find a good search for you. So write the words ‘Unilever Shopper Missions’ into Google. And Unilever identified shopper missions in order of popularity as [1] Top-up Food, [2] Food For Now – sandwiches, drink, some crisps. [3] Need It Now (Distress Items), [4] Newsagent – including newspapers and cigarettes, [5] Meal For Tonight, and there's also like big shop and stuff like that. And if you understand shopper missions, that ties directly into retail media. And the reason for that is all those shopper missions are transferred online in many respects. So our Meal For Tonight is a shopper mission. That is where there's a big opportunity for retail media. Need It Now – 30-minute delivery, and [Food] Top-up. Yeah, so the one [website] I found is only average. Do a little bit of poking around and you'll find the correct shopper missions [article].",Unilever, Delivery services, Buyer behaviour, Business strategy,,,,,,,,
"Yeah, in grocery they use the word shopper missions. Like that's the word they use. So even in Tesco that's the language.",Business strategy, Tesco, Buyer behaviour, Grocery,,,,,,,,
"One thing that we picked up talking to our VP's in the States because they're they talked a lot. I think it's Flip and Instacart, specifically Instacart and that kind of delivery. But one thing they said was quite outstanding is sometimes the deals on Instacart aren't as good as in store, but people are still willing that convenience thing. So they they're not necessarily getting the best deals but getting the best convenience. So the price that the actual end consumers paying is actually higher than going in store and sometimes quite significantly higher.",,,,,,,,,,,,
"Yeah, that's the do with scale. Has anybody here been to the States recently.",,,,,,,,,,,,
Last one since about 2008.,,,,,,,,,,,,
I was there a couple of months ago.,,,,,,,,,,,,
"I don't know what you thought, Jack, but I couldn't believe the price of everything. It's like, crazy. I mean, I've been asked to speak at the NRF [National Retail Federation event] in January in New York. And I told the guy, I said “Listen, I'm not going unless you pay for everything”.",,,,,,,,,,,,
Yeah.,,,,,,,,,,,,
And it's not an exchange rate thing.,,,,,,,,,,,,
We paid $60.00 [USD] for like 2 burgers and the kids burger – and it was like $60.00 U.S. dollars. Like that's crazy.,,,,,,,,,,,,
"US dollars, yeah. OK, I was in Palo Alto, but I wasn't kind of going into a Louis Vuitton here, you know. I was going into a Starbucks, and $7.00 for a medium Americano. Now we're moaning in Dublin about a €4 Euro coffee. And you can go to Spain and buy the same coffee for €1.20. And let's say I go to Chicago, I had a burger and a beer at a bar. It's like $50. It's like “You having a laugh?”. And so it doesn't surprise me from the Instacart perspective that people are like, that doesn't matter that's more expensive. Because in the consumer's mind – with the shopper mission idea in play – they'd outsource that problem because the money is not relevant. It's hard for us to get our heads around that. My wife and I were just talking about this last night. She ordered in delivery there last night. We never order in delivery because I can literally walk to the shops and there's a store 5 minutes away. And I can cycle 5 minutes away. Like my life is completely different. I'm not driving anywhere. You know, in the US you've got to drive everywhere. But they also have a lot more money. Like a lot more money. Like salaries for some of these 27-year-old’s in the West Coast is 300 grand [$300k].",Buyer behaviour, Delivery services, InstaCart,,,,,,,,,
"A friend of mine works in investment banking in New York, and it's like “What!”. Even the stuff I would do in the US would be paid three times the amount. Not twice, three times.",,,,,,,,,,,,
Are we're saying shoppers or are we saying the buyer as in the in the retailer themselves.,,,,,,,,,,,,
"The shopper, again to certain extent of customer segments. But the shopper is living on his phone – his or her phone – and that everything's available immediately like in China. Like if you're going out to dinner, you'll go on the app and you'll book it and you'll do it on the spot. And the price is kind of secondary, if you will. It's about the occasion and the thing and the mission. It's not about like the cost. Particularly in the big city. Because everything's expensive, even McDonald's.",Mobile, Buyer behaviour,,,,,,,,,,
"Does that mean from a relevance point of view, if you're Instacart and your Doordash’s are aggregating – like your relevance – as that becomes your more relevant touch-points for consumers and then your retailers are secondary, like why do I need to go into store. So the shift of the play comes from you're not coming into my [retail] walled space, but how am I going to be relevant in this new emerging marketplace where essentially the discount reduction on the bottom dollar, the shopping vouchers doesn't really matter anymore?",,,,,,,,,,,,
"Well, again in the US, one hesitates to make massive generalisations about the US because it's obviously a huge market and there's a lot of people who need those vouchers and stuff like that. But the people who are need the vouchers, they ain’t using Instacart. Do you know what I mean? It's around scale, you know. I did a deep dive on Instacart. I've got like a 30-page report on Instacart and most of the time I couldn't get my head around the fact that people get somebody else to do their grocery shopping and deliver it to them. Mainly because I’ve just no experiences like that. I hire a person on minimum wage to drive their car to go to the shop and buy stuff for me. What? If my mother heard that sort of thing, she'd give me a slap over the head. Like, why? You lazy bastard So I think when it comes to Instacart, you just have to kind of reframe your brain. And things like deals and vouchers, because I'm not there for that. It's like it's like moaning about the price of the wine when you're out on Valentine's night. It's probably not ideal, you know. Can I have the cheap stuff please?",Delivery services, InstaCart, Buyer behaviour, Grocery, USA, Mental models,,,,,,
"Well, I've created a course for advertising week. I created two courses in retail media and besides the best practise stuff, I had to write whatever 18 months ago. So I've spent a lot of time noodling on the idea on these individual product sets and how to communicate to people. And again from stating the obvious, sponsored search is most of retail media – for the most part. And it is the most important part and the biggest revenue driver. But amazingly enough most people don't understand it, and they don't see that. And they see all this with the fancy stuff and they don't realise that for the most part 70% of retail media is sponsored search or product. In fact people I deal with end up having bloody theological discussions over should be called sponsored product to sponsored search. And I'm sitting going “What!”. It's like nuts.",Advice and guidance, Products, Business norm, Search terms / Keywords, Knowledge gap, SPA (Sponsored Product Ads), Revenue,,,,,
"Sponsored search is the equivalent of the smart guys in the US know they've got to be on that because that's equivalent to paying to be on the shelf. It's digital availability, mental, physical, digital availability all in one. So that's your always-on strategy, particularly in grocery. Because for my sins, I bought my first display advertising campaign in 2006 and I've always had a love, hate relationship with display. Even in kind of closed environments like say Facebook or retailers. And the reason is very simple… the click through rate always suck. Always. 100% of the time, always sucks. And what happened in the world of digital, people think that we're going to apply the same laws of gravity to every single type of digital Ad unit. And they don't cop [understand] that CTR's on digital display always sucked, and always will suck.",USA, Business strategy, Facebook, eCommerce marketing/spend, Ad Types, Retailers, CTR (Click Thru Rate), SPA (Sponsored Product Ads), Banners,,,
"So for instance, I used to run the ancillary revenue for an airline which is pretty much identical to many aspects of retail media, which is why I was interested in the first place. You get your confirmation page and we would know the CTR for each block of content. And we would know the results depending on the offer. You know, was there price-driven. We'd also know the results depending on the time before the flight. So today, there's no CTR. Three days to go, the CTR increases on that block of digital display, you know. So the way I pitch to people, I say always-on, get on the shelf, is [sponsored] search. Display is so for your contextual, for your sort of reinforcement and brand. But do not expect anything from that [like high CTR’s]. The newer richer stuff – kind of like what's Amazon are doing a sponsored brand video – is the way to go. Now, all the data that I've got here says that the brand video or sponsored video within the flow gets a higher CTR and better results and the brands love it. So within the realm of Amazon, they're all over video. And if I had a magic wand with you guys or with any vendor, I'd say “Guys, drop everything and make video work”. Because that [video] Ad unit is much more powerful than sponsored display.",CTR (Click Thru Rate), Amazon, Cost structure, SPA (Sponsored Product Ads), Digital video, Spend, Future opportunity, Banners,,,,
"Well video works for everything. If we just have a three-step – a lazy three-step you know shopper funnel just to make it easy – [1] brand awareness, [2] consideration and then [3] conversion. Let's just make a three-step funnel. Video – and again I have to tell you how much time I have spent thinking through this and talking to people over this – it's like a lot. Video works for awareness, Video works for consideration and video works for conversion. It works across the board. And all the data that's done through professors noodling around and issuing papers says exactly the same thing. At a certain level, it's better on consideration and awareness. But again, that's down to the creative.",Digital video, Customer needs, Point of purchase, Future opportunity, Awareness (funnel), Consideration (funnel),,,,,,
"And, as I was kind of say lazily, if I'm retail media vendor like you guys are a technology vendor like you guys, how do I know what my road map should be? Well, I just look at Amazon unBoxed and then go right, that's what I'm going to do. But the insider information, the data that I've got, all the people I'm talking to, it's like just throw everything into video.",Amazon Ads, Digital video, Future opportunity,,,,,,,,,
"Buy companies, do whatever it takes because then what happens is the retailer can go in and say, “Hey Mr Brand, you can have your shelf sponsored products. Now you can do sponsored display. It's kind of nice but you know this [video opportunity] works. And you can develop your own creative that works at awareness and consideration right through the flow… looks amazing”. And then what that then does is – and this is the key point to note is – that then you're moving away from some discussion about how retail media is some bottom of the funnel thing, and the brand people get involved. Yeah, that's where the budget is dead. [They] Got the dough?",Future opportunity, Brands, Digital video, Awareness (funnel), Media buying, Consideration (funnel),,,,,,
"I'll tell you something that I was talking to yesterday. It was a company who do kind of analytics, technology and e-commerce and he was like “How come I can't break into, you know, Publicists or anything like that? And how come I can't break into this, that and the other?”.",Business challenge,,,,,,,,,,,
"So this is just a little bit of 30-second philosophy. Within a marketing department and within an Ad agency, there's a hierarchy and there's a status. And ‘status play’ is the game that's going on, but nobody will ever tell you this. And the status play is this. If you're the head of brand, you were the highest status person in the room. If you are the fingers on keyboards, AdWords guy, you're the bottom feeder and you're in the room with no windows. And so you've got this kind of perspective here. So when the brand folks are in the room, listen to this retail media thing, they're not hearing what you think they're hearing. They're hearing low-status channel versus high-status TV channel. I am never going to win a Cannes award if I go down this road here.",Future opportunity, Digital video, Brand marketing/spend, Gap (Product or Service),,,,,,,,
"And so it's like the world I call, it's like the commercial marketers versus the brand marketers. How do I know? I'll give you a specific example. The marketing people – because I write for Marketing Week magazine, I get invited to speak at all these conferences – and I can see when they're talking to be like, [asking] “Why are you wasting your time on retail media Mark? Why, when you could do the cool branded strategy stuff?”. This is this is how the world works guys. And so if you can introduce video, you can then start tapping into the thing that matters most in the world, which is keeping status.",Brand marketing/spend, Digital video, Gap (Product or Service), Future opportunity,,,,,,,,
"With the with this video, so there's one thing that's confusing to me. You see a lot of talk about video but then it's like is it, in the streaming site, Instream?",,,,,,,,,,,,
"Instream, 100%. It’s both [Instream and Outstream], but start with Instream.",Digital video,,,,,,,,,,,
