TRANSCRIPTION,TAGS,,,,,,,,,,,,
What you mean behaviour?,,,,,,,,,,,,,
"It's evolving for sure, and rapidly. And I think we've also been on a roller coaster admittedly. Like COVID put us on a roller coaster where we were like going up and up. And then you're kind of at this lull. I think it'll continue to go up, but just not at a rate that it was before.",Complexity,,,,,,,,,,,,
"So I come from a company where Jimmy and I worked at previously that first and foremost, they helped retailers power ecommerce. And so I think it's important to know like that's step one for all of these retailers is how do they get their ecommerce sites, the fulfillment, the picking in-store, right?",Business norm, eCommerce, Reactive vs Proactive, Retailers, High Alignment,,,,,,,,
"And then you know, the Ad-tech really becomes a layer on top of that. Some retailers are easier than others. Some are doing it better than others. I think, admittedly, Amazon's been doing it a long time, but they're mostly like a pure-play online retailer and it makes it a little bit easier. They were built as that. But then you have an Ahold Delhaize who was not born and bred, you know, other than Peapod as a pure-play online retailer.",Business challenge, Complexity, Knowledge gap, Ad Tech, Ahold Delhiaze, Peapod, Amazon, High Alignment,,,,,
"And so, you know, they're [Ahold Delhaize] also five different retailers in one. They're a company of acquisitions and a lot of retailers are like that too. They've acquired different businesses and tag them on. They might be across other ecommerce platforms and so you Ahold as an example right now they have 3 retailers on one ecommerce platform and then two on others and ones in a migration.",Complexity, Acquisitions, Ahold Delhiaze, Retailers, High Alignment,,,,,,,,
"So just the infrastructure itself that we’re attaching on to is in flux. Which means the Ad-tech is in flux, which actually makes it harder for brands and agencies than to operate. [For example] for Food Lion on Ahold, they're on the Quotient platform still. But we're helping them activate those dollars when all the other retailers, the banners, the Ahold banners are on the AdManager platform.",Operational structure, Ad Tech, Ahold Delhiaze, Food Lion, AdManager, Quotient, Partners,,,,,,
"I think we're all just figuring it out. And I think the other trend that I'm seeing for more mature retailers, even if their ecommerce is solid, say like a Target or a Walmart or you know an Amazon. Now they're in a period of how do they diversify their Ad-tech and get like the most dollars possible. And a lot of them are doing it by diversifying their Ad-tech partners. And so you have supply side partners like AdManager or Criteo that have kind of been the historical guys. But then you have a lot of these, like aggregators or integrators we call them like a Skai and Pacvue.",Ad Tech, Competitors, Diversity, eCommerce, Target, Walmart, Amazon, AdManager, Criteo, Pacvue, Skai (Kenshoo), High Alignment,
"You also have agencies that have their own Ad-tech but are fingers on keyboards like Flywheel or Tinuiti, Stable or Harvest Group here in the US. They bring in supply, but then they make it easier for these brands to activate not only on that retailer, but across all retailers, right?",Competitor advantage, Ad Tech, Competitors, Opportunities, Flywheel Digital, Harvest Group, The Stable, Tinuiti, Agencies, Brands, USA,,
"So it's very much, I came up in like the publisher world like [the] lifestyle publisher world. And we saw this exact kind of trend where all these publishers, content platforms [etc.] built up their own platforms. But then at some point the brand said “I can't activate across all of these. It's too hard. We need a programmatic way of doing this”. And that's where programmatic media happened. And you can buy across all of them because it's standardised Ad placements.",Ad Tech, Reactive vs Proactive, Brands, Standardisation & transparency, High Alignment,,,,,,,,
"And to me, these integrator or aggregators help provide that and that's why I think our API is so important. Because we can buck the trend [of integration or partnering] and we can try to be the sole provider. Or we can go along with it and allow these retailers and these brands to connect the way that they want to connect.",API, Integration, Opportunities, Brands, Retailers,,,,,,,,
"And that to me again is the retail media flywheel of making it easier, getting better reporting which drives more dollars into the system. So at one end you have infrastructure. At another end you have revenue diversification.",Diversity, Opportunities, Reporting, Revenue, High Alignment,,,,,,,,
And most retailers like the big ones are higher on the diversification. The new ones are definitely just on the infrastructure and trying to get it right but also driving the adoption because it's crowded. It's crowded from the RMN space and a lot of the brands are still in early days and they're trying to figure out where do the funds come from. Because historically there are a number of funds that retail media can play in.,Business challenge, Budget, Diversity, Spend, Brands, Retailers, Moderate Alignment,,,,,,
"So there is ecommerce, which is historically “How do I drive more online sales?”. There is shopper marketing dollars, which is much more around “How do I advertise online but ultimately drive in-store sales?”. And then there are brand dollars which are coming down traditional marketing dollars. And the fourth is really trade [spend]. And trade is something held close to the vest by the merchant team, invite only. You got to be careful and tread lightly.",Trade marketing/spend, Knowledge gap, eCommerce, Sales, Spend, Brand needs, Moderate Alignment,,,,,,
"And so where we've historically played as like shopper [spend] and ecommerce [spend], which typically flowed down from brand and then trade is separate. Normally, brand [spend] doesn't flow into trade, but brand flows into the ecommerce and shopper marketing.",Trade marketing/spend, eCommerce, Spend, Brands, Moderate Alignment,,,,,,,,
"But these brands don't have it all figured out in terms of that fund flow and they're still opportunity to influence those brand dollars. So you know Meta, Facebook… not as popular as it once was. A lot of those dollars are now siphoning more into retail media. Or you see a lot of retail media networks like Kroger and Instacart trumpeting CTV [Connected TV] and OLV [Online Video]. Why are they doing that?",Knowledge gap, Budget, Digital channels, Kroger, Digital video, Facebook, InstaCart, Meta, Brands, Moderate Alignment,,,
They're doing that because they can capitalise on the legacy TV dollars. So those are new buckets of money that they can trickle down and grab from. But brands don't have it figured out.,Knowledge gap, Opportunities, Brands, Retailers, Moderate Alignment,,,,,,,,
"And so you have the retailers shouting “I want more money”. And then the brands are like “OK, how do I go find this money?”. And if you talk to an agency, they're going to say “I only have this amount of money” because that's all they have been allocated.",Business norm, Managing expectations, Spend, Agencies, Brands, Retailers, High Alignment,,,,,,
"But then, we [AdManager] got to go and talk to those brand managers, or we got to find an advocate who will go and get those dollars from the brand teams.",Business strategy, Advice and guidance, Spend, AdManager, Moderate Alignment,,,,,,,,
"The trade piece I will follow up with you. It's never entirely net new dollars. Retailers don’t want to hear that. But McKinsey’s run a study on where these dollars coming from, and I'll share that with you because I think it's a good response.",Retailers, Moderate Alignment,,,,,,,,,,,
"I agree SPA [Sponsored Product Ads] is a ‘gateway drug’ and that's why I think we required by EllisX. Because it's the next [big thing]. There's always a finite amount of inventory onsite, it just is. There's pretty much unlimited inventory offsite. And we found that 80% of consumers don't engage with the owned and operated properties known as the in-store. And that's where the offsite comes into play.",Business challenge, In-store, Sponsored Product Ads (SPA), AdManager, EllisX, Retailers, High Alignment,,,,,,
"So I think I'm going to do the hostage [theme] because it's fun. Me from a sales end of it, coming from lifestyle publishers where you had to sell and you were kind of in it alone, the retailers are the Big Brother. And we play into that here Stateside as a service organisation. We lock arms with the retailer if we get in with the merchants. Like retailers are King and Queens of the retailer world and they do have sway with these brands.",Concern or Worry, Brands, USA, High Alignment,,,,,,,,,
"But to your point, we also hear back from the merchant, [stating] it does have to perform. And we have to prove out the effectiveness [of RMN’s] and for a long time ROAS return on Ad spend has been accepted but I think that's now getting challenged.",ROAS, Spend, Brands, High Alignment,,,,,,,,,
"Some people are abusing it. Some partners are [too]. I think AdManager takes a very conservative stance on it. But as more and more dollars get funnelled into retail media, it's the lowest funnel tactic. It's sometimes very easy to get a good ROAS too. And I think that's why brands are asking “OK, ROAS is great. But with my incremental sales…”. And so that's a big trend that we're seeing right now is more and more brands are wanting to know not only what was ‘my sales’ but what was incremental that I wouldn't have gotten otherwise.",Business challenge, Incremental sales, ROAS, ROI, AdManager, Brands, Partners, High Alignment,,,,,
Example: Retailer expects to sell $50k of a product. The campaign costs $20k and ends up selling $80k in sales.,,,,,,,,,,,,,
Incremental sales is $80 - $50k = $30k],,,,,,,,,,,,,
"Sometimes we can't always prove that. So what we try to do is at least say “OK, well your sales are growing or maybe they're declining, you need to, you know, spend more type of thing”. But it is a common question and this sales media is retail media and we merge the two.",Business challenge, Sales, Spend, Brand needs, High Alignment,,,,,,,,
"So we're always trying to match a data-led story with what we're selling, into the brand. Or creating like fear of missing out, you know from the sales end of it. If you can say your competitor is growing share because they're investing more and they’re present more than you are at the digital shelf like that's a great motivator. It sells itself?",Concern or Worry, Advice and guidance, Data, Metrics, Sales, Brands, Partners, Low Alignment,,,,,
"We have to go, man-to-man combat. Criteo uses branded terms a lot to inflate their ROAS. And that's the point we try to dispel because if you're running sponsored products on your branded terms, chances are somebody's going to click on it; somebody's going to buy it and your ROAS is outstanding.",Business challenge, Competitors, ROAS, Criteo, High Alignment,,,,,,,,
"What's harder is non-branded terms. And so we try to point to those things as differentiators when brand say “Oh, I get a much better ROAS on Criteo and Target” and [AdManager is] like, wait a minute here let's peel this back. So we actually play into that kind of question mark scenario that brands you're hearing from in the market and these trade articles.",Business challenge, Data, ROAS, Target, AdManager, Criteo, Brands, High Alignment,,,,,
"OK, there's so much in the other stuff as well. I just wanted to send you an email [to cover the additional topics]. We'll do it email first and then if we need to hop on it, it would be great because there's a lot to unpack there. And a lot of what I asked you in more depth.",,,,,,,,,,,,,
"The one last thing I want to ask you, Jaclyn, is around some of the comments you've made is as we open up more of this agency on the on the side. Like self-agency for brands on their side. Where they can do an awful lot more and serve an awful lot more and report and place ads across networks and off lot more. What do you think is going to be the outcome or the and would there be a reaction on the retail side?",,,,,,,,,,,,,
"Because essentially what we're doing, we're opening up the brands to kind of manage how they want a kind of remove a little bit of that power away from the walled gardens of brands and their own internal retail networks.",,,,,,,,,,,,,
"How do you think that's going to play out? Do you see any potential strains there where we have customers on both sides, retail and brand and now we're giving more power to potentially [the] brands?",,,,,,,,,,,,,
"I think it has to happen. I think it's already happening here Stateside, probably even more so than abroad. And also because like agencies are involved.",Moderate Alignment,,,,,,,,,,,,
"I'm also very much across our API which plays into the aggregators. I guess, some retailers might push back. But it's also just the retail media flywheel again. A lot of these consultants are going to tell the retailers “You need to start to operate like a media company”.",Business challenge, API, Retailers,,,,,,,,,,
"And some media companies say the Facebooks and the Instagrams of the world can operate as a walled garden because of their scale. And Amazon might be able to operate as a walled garden and Walmart might be able to. But like at some point you just get to a saturated saturation point and it's just too many walled gardens. And if you're too hard to work with and you're not going to get the dollars either, no matter how good you perform. And so I think it's going to evolve because it has here Stateside. There might be some resistance.",Disruption, Walmart, Value or belief, Facebook, Instagram, USA, Moderate Alignment,,,,,,
"So we don't maybe have to disclose as confidential of information. But I also think it's a monetisation opportunity and the smartest retailers will start to realise that. Whether it's like “OK, invest this much and we will disclose this data, or we'll charge this much for our data because there is value against it”.",Data, Opportunities, Revenue, Retailers, High Alignment,,,,,,,,
"So if anything, I would advise the retailer to play into that. Figure out what your value is. And even to us as a company, you know, figure out what the ‘get’ is and make sure we are charging the retailer who's then charging the brand. Like, don't give it away for free.",Data, Opportunities, Reporting, Partners, Retailers, High Alignment,,,,,,,
"So I'll ask the first one which was trade funds. What have you seen around that that movement of money? Is it new budgets are being created or is it being used from other areas like ecomm [ecommerce budgets]. Because the concept in one of the reports that we read was around that notion that they're not getting any more money [brands are not providing new budgets] but rather just sloshing it around from other areas rather than growing that retail media section of funds itself. So have you noticed any trends, or I guess any insights that you can speak to around this?",,,,,,,,,,,,,
"Just following up from our last catch-up out with some questions. Just kind of around trade funds and around the reports. [And] brands and retail is kind of going more up the consumer funnel. Exploring more than sponsored Ads and just kind of chatting about how brands are kind of, I guess pushing back in a sense. Or finding that they they're not getting the value out of some retailers that they were initially promised [better outcomes]. So trying to explore that a bit more.",,,,,,,,,,,,,
"McKinsey did a study on it, and it does pull from other buckets, you know, some of it is a bit Net new. There's some [budget] that gets pulled from trade, but it does depend on how much the retailer is leaning in.",Retailers, Budget, Incremental sales, Brands, Trade marketing/spend, Moderate Alignment,,,,,,,
"My team when I have a sales team out in market, you know the lowest hanging fruit for us that we have easy access to without the retailer’s involvement and the merchants team involvement. The dollars are tagged as ecomm [budget]. They're tagged as shopper marketing.",Budget, eCommerce, Moderate Alignment,,,,,,,,,,
"I'd say that's probably some of the biggest pool [is] that legacy shopper marketing dollars are increasingly coming into retail media [budgets]. Especially through digital channels. And the difference between ecomm and shopper is ecomm typically the KPI is around online sales and shopper is around in-store sales. So that's also where you see a lot of these retail media networks you know was led by Walmart starting to include online sales because those shopper dollars need to be tracked to omni-channel sales. So Walmart did it. Now Targets’ doing it and now like a lot of other retailers, are following.",Budget, eCommerce, In-store, Target, Walmart, Aggregated reporting, Moderate Alignment,,,,,,
"But ultimately, you know what is happening a little bit and needs to happen more is more dollars flow into these channels through brand. So maybe legacy traditional TV, more of that's going into CTV [Connected TV]. Or maybe, you know, social [media] dollars. Maybe they're not investing as much into meta or Facebook anymore. And those [budgets] are flowing more [to retail media]. Maybe they're running social dollars through retail media data? That kind of thing.",Spend, CTV (Connected TV), Social media, Brands, Moderate Alignment,,,,,,,,
"So I say a little bit in trade, not as much, but more or less in these other ecomm [and] shopper marketing budgets and these brands are in a little bit of a renaissance of “OK retailer asking more where does it come from? OK, it has to come from some of these other legacy channels”.",Trade marketing/spend, Budget, eCommerce, Revenue, Retailers, Moderate Alignment,,,,,,,
So they're still kind of pulling from those other channels to grow.,,,,,,,,,,,,,
"You're always pulling from different ones. It's just, you know, which ones are growing. What is low hanging fruit. And then in terms of the retail media ask because all these retailers, they keep asking for more and more and more each year, right? They got to come from somewhere. It's not like the brand overall marketing budgets are increasing by that much.",Business challenge, Budget, Revenue, Spend, Retailers, Retailer needs, Moderate Alignment,,,,,,
I'll just open it up to Colin and Jimmy if they have any kind of questions on that matter.,,,,,,,,,,,,,
"Oh, interesting. So it's a little bit they're reverse. Say it again to me, just some wrap my brain around it.",,,,,,,,,,,,,
"Interesting. It makes sense. I think it's behaviour that's probably been driven a lot by Amazon. So you see it a lot of like cross-retailers or like “Let me let me check Amazon, they usually have the lowest price”. But it's interesting if consumers are latching on to that and saying, OK, maybe it's not even Amazon, maybe it's just this retailer site that has lower prices. I haven't heard of a ton of that lately, at least here Stateside. For us, often, especially in the grocery channel, which is really our bread and butter. Something like an Instacart. Obviously, we don't have Instacart. But Instacart we found their prices are usually more [higher] than what's in-store because they have a little bit of a service charge fee. So I say less prevalent seeing that, but it makes sense. Just don't have clear trends to it.",Fees or Charges, Spend, Amazon, InstaCart, USA, High Alignment,,,,,,,
"So we've also noticed a bit of a trend in some of the reports. And it's similar to a retailer over here called Coles, that retailers have kind of bled sponsored Ads to death, so to speak. [In the report] referring to it as a ‘gateway drug’ to retail media.",,,,,,,,,,,,,
"And kind of supported by what you said last time they’re [brands] are now hooked and looking for more, especially from up the consumer funnel, into that awareness, consideration kind of area and exploring things like video and out of home [OO] video and trying to really create and explore more of that whole digitally connected RMN universe. Can you speak a bit to that and what you've noticed I've seen regarding that?",,,,,,,,,,,,,
"I think that's spot on. You know on-site search is usually the first area that brands want to invest. I would say some of the big brands are questioning [on-site] search, which is also interesting. While it's a ‘’gateway drug, some of them been around for a while and they're also questioning “OK. Am I going to get this sale anyway?”",Concern or Worry, On-site, Search terms / Keywords, Brands, Moderate Alignment,,,,,,,,
"So there's an incrementality piece. I know we talked a lot about reporting the last go around of like what's the incremental lift. And incrementality though like that to me comes higher in the funnel, right? And that's why it makes sense. OK, start with search. Maximise there, but don't forget about the other higher funnel tactics because a lot of times retailers don't let brands conquest, right.",Knowledge gap, Incremental sales, Opportunities, Brands, Moderate Alignment,,,,,,,,
"So you're just, you're reaching whoever you're probably going to reach before [in on-site]. But how do you drive new into the pool? How do you get on the list or get in with the consideration set. And you got to do that before they're [consumers] searching for cheese or Kraft cheese. You've got to do that earlier.",Business growth, Business challenge, Awareness (funnel), Consideration (funnel), On-site, Brand needs, High Alignment,,,,,,
"I think it's also a natural extension because retailers are asking for more dollars, right? On-site has finite inventory. Brands will not be able to meet those commits if they only focus on search or on-site display. They [retailers] have to go outside of that. So I think that's also kind of opening things up in terms of the interest. I think it's brand but it’s also the retailers influence driving it.",Limitation, On-site, Reactive vs Proactive, Retailers, Moderate Alignment,,,,,,,,
"Would we just say that they're starting to, I guess, see that taking the lens off of just sponsored Ads to see that “Ok, it is actually all connected here, you know. We really need to be looking outside of one [RMN] site to boost on-site essentially”.",,,,,,,,,,,,,
"That's right. And that's that is the really fun problem that we're looking to solve with the unified platform that really nobody else does with that reporting, right. If you can show that unified reporting against the on-site and the off-site, that's awesome. Because right now, partners [agencies] just show either or. But what we found is when you run both it makes the overall pool lift of ROAS and sales.",Off-site, On-site, Opportunities, Reporting, ROAS, Agencies, Aggregated reporting, Moderate Alignment,,,,,
"We found the recent campaign on goPuff is that while the off-site ROAS wasn't fantastic, it had really strong influence on the on-site search performance when run concurrently.",Off-site, On-site, Performance, Reporting, goPuff, High Alignment,,,,,,,
"It's interesting though, because I hadn't really expected that about offsite influencing onsite positively. It would be a good case study.",,,,,,,,,,,,,
"We've seen quite a few of those, and I might be able to find some more case studies. I'll share it. We have the goPuff one, and I think we might have an Ahold [Delhaize] one too.",On-site, Off-site, Ahold Delhiaze, goPuff,,,,,,,,,
"Yeah.  So we'll pull the organic sales pre, during, and post and measure the lift. Or we'll just look “OK, so you have ‘always on’ search and we post in an offsite campaign [data]. What happened to the on-site search performance?” OK, it clearly lifted during the flight.",Advice and guidance, Incremental sales, On-site, Off-site, Reporting, Spend, AdManager, Partners, Low Alignment,,,,
"And just lastly, we briefly chatted about this last catch up and Jimmy touched on. It was this notion of a of one-sided relationship or as Colin likes to refer to it as like a hostage relationship between brands and some retailers. The idea that if they don't go with some of these retailers, they're going to miss out and or be in bad faith, lose their rank.",,,,,,,,,,,,,
"On the flip side of that coin and in one of the Forbes articles we read, the brands are now beginning to kind of think for themselves, and question, the value of that spend because they aren't actually getting that value back. And you touched on this briefly again, last catch up, the idea of interconnectivity of like a ‘glue piece’. The piece that kind of glues everything together, connected to all the reports et cetera. And do you want to elaborate deeper on that and discuss any insights or finding you're seeing in that space?",,,,,,,,,,,,,
"Yeah, it's always the sales conundrum because when we get into a challenge, we do always call the retailer for help. And you know, sometimes it works, sometimes it doesn't. But you know the best relationships and when the spend continues, it's when not only do we have the retailer alignment, but the retail media flywheel is at play.",Business norm, Business challenge, Spend, Partners, Retailers, Moderate Alignment,,,,,,,
"So we are operating the way that they want to operate. It is easy. It is performing and so then it becomes an easier growth pattern versus always having to strong-arm the retailer and at some point too, the merchants get fatigued. And the merchants are numbers driven, always. And so they too want to see the performance and to stand by [it] you know. They need the backing [performance metrics] in order to stand by the program.",Business norm, Performance, Metrics, Reporting, High Alignment,,,,,,,,
"So if sales are dipping, they'll say “OK, maybe we will work with this other tactic. Maybe we'll put more push more into the circular”. That kind of thing, even though it's not tracked. So they do have to work concurrently.",Sales, Reactive vs Proactive, Moderate Alignment,,,,,,,,,,
"And the other success that we have when starting a program - best in classes you start with your largest brands because those get the clicks. And then you work down the line [to lesser brands/products] because if a big brand isn't running “OK, well, let's find their next competitor and the next competitor and the next competitor”. And when those start running, we end up pulling sales data that says “Listen your shares dropping. If you don't run, you're losing share”. And that tends to be a motivating factor. Just that fear of missing out.",Business norm, Business strategy, Concern or Worry, Advice and guidance, Reporting, Partners, Low Alignment,,,,,,
"To say how a brand was going back into their own internal stakeholders and pushing from our budget. Yeah, I think performance helps. Showing either a sales growth or a sales decline story, at least on our end, has helped in it's a motivating factor. So “Hey, you're growing this much by investing X. What if you invested Y? You'd invest even that that much more”. It's really very much a data story by projecting out their ROAS that they're seeing today.",Performance, Reporting, Sales, ROAS, High Alignment,,,,,,,,
"But conversely, if they're seeing a decline we’ll tell a story even around their competitors. Because we can see on our end - obviously we're not exposing it any confidential data - but like “Hey, you're 20% of the share of voice for your category. But guess what your competitor over here is 40% and their sales are growing, you know incrementally by you know 25% month over month”. And so we'll, we'll use that to tell a story to invest more.",Advice and guidance, Competitors, Incremental sales, Share of Voice, Spend, Brands, Partners, Standardisation & transparency, Low Alignment,,,,
"Yeah, we lean on fear.",,,,,,,,,,,,,
All fear [of missing out]. It's either the retailer or your competitor.,Brands, Concern or Worry, Competitors,,,,,,,,,,
That's kind of all I had and some of the things that Colin had pulled out from the last catch up as well.,,,,,,,,,,,,,
"Let me let me dig that up. We used it for one of our retailer pitches. I know I have a screen shot. We can probably track back the report at some point, I'll dig that up for you.",,,,,,,,,,,,,
"Thanks for your time, Jacqueline. Really appreciate it.",,,,,,,,,,,,,
"So joined about 2 and a half years back. I sort of lead India and Southeast Asia as far as business development. Growing the business team, clients and pretty much the one man who joined and now we've got a little larger team on ground as well.",Asia, Anecdotal, India,,,,,,,,,,
"So, responsible to expand the business of AdManager to sort of evangelise with retailers. And of course, then going to brands as well. So a mix of a role in terms of doing things and discussing retail media with retailers.",Anecdotal, Brands, Retailers, AdManager,,,,,,,,,
"But in the process, while we bought our first big retailer, we began discussions with whole bunch of brands as well. So familiar with that. You know my background is someone who's been in digital for over about 20 years. Been on the publishers’ side, being an agency guy, being a brand guy as well.",,,,,,,,,,,,,
"So familiar with digital and from that perspective, we've been trying to sort of push the whole process of retail media amongst brand owners and CMO’s [Chief Marketing Officers] in the country as well.",,,,,,,,,,,,,
"No. To be honest, this is my first stint as such in retail media. But been familiar with it before as well while I was a brand owner. So I was kind of, you know, spending money on ecommerce platforms in India. So spending money on platforms like Amazon. We have something as big as Amazon called Flipkart, who's a big marketplace as well, which is now owned by Walmart. So, you know, in familiar and spending money on those platforms as well, yeah.",Walmart, Anecdotal, India, Amazon, Flipkart, eCommerce,,,,,,,
"While like most markets of the world, you know, the pandemic played that role to sort of really push the whole ecommerce wave with the country as well.",Business growth, eCommerce,,,,,,,,,,,
"And while it costs more, people start to consume things ordered online. That's supported out brands spending a little more money primarily on places like Amazon and some of the usual, bigger guys there as well.",Buyer behaviour, Spend, Amazon, Brands, High Alignment,,,,,,,,
"We've had the Criteo in the market now for almost over about five years. So they've been an early mover in this country. And although the model which they operate with is a little different from what other markets they operate in. So they don't really sort of hard sell tech. They tried that for about closer to about 9 or 10 months initially, and they realised that they don't do that in this country [India].",Business challenge, Competitors, Criteo, India, Low Alignment,,,,,,,,
"But what they [Criteo] smartly did is they partnered along with the largest ecommerce company here called Flipkart, I spoke about earlier, which is Walmart owned. And they essentially have on [the] ground almost over 130-member team, which represents and sells on behalf of the media from Flipkart.",Walmart, Criteo, Flipkart, India, Partners, Low Alignment,,,,,,,
"So they [Flipkart] are a very large and media sales company in this country. And I think almost any brand that you sort of speak with whose advertising on ecommerce, within their media plan, Flipkart is like a line item.",eCommerce, Flipkart, India,,,,,,,,,,
"It's like saying if you want to do Google; you want to do social [media channels]; you want to do pretty much other things, you know, ecommerce equals to either Amazon or Flipkart in the country. And those numbers are only growing beyond from 2000, 2021. We are only seeing, you know, then sort of growing upwards as well.",Business growth, eCommerce, Amazon, Flipkart, Google, Social media, India, Moderate Alignment,,,,,
"So wireless cost, I don't know how much you're familiar with digital landscape with an India, but with some of the one of the fastest growing digital media in terms of spends from advertisers. The spend is average of about 17% to 19% overall. And we grow almost by about 12% to 14% year on year as well.",Business growth, Mobile, Spend, India, Moderate Alignment,,,,,,,,
"If you were to look at that mix of digital advertising, ecommerce is now of that hundred [percent] is closer to about 12% of your overall pot is very commerce sort of contributes into as well. And that's sort of also grown substantially the last 2 to 3 years.",Business growth, eCommerce, Moderate Alignment,,,,,,,,,,
"Within this space. I think the largest spenders typically are either companies in the CPG [Consumer Packaged Goods] space, which is FMCG [Fast Moving Consumer Goods], and CPG. Or they're also a lot of them companies who are sort of in the mobile handsets [space]. Because a lot of the consumers are buying that category of mobile accessories and that as well. There's a second sort of leader in the game in India.",Business norm, Budget, Mobile, Spend, CPG (Consumer Packaged Goods), FMCG, India, Moderate Alignment,,,,,
So that's really the broader sort of canvas of how it’s sort of grown.  I think while Criteo was doing this evangelisation in the market we launched as well. I think we've been able to sort of put out the thought of retailers creating their own sort of asset of retail media.,Competitors, Criteo, India, Retailers, Low Alignment,,,,,,,,
