TRANSCRIPTION,TAGS,,,,,,,,,,,,,
"So it may be different in the in the core platform, but I suppose the metric we're trying to show them [retailers] is you have this many impressions, total on your website, and your only actually showing Ads to this percentage of them. Basically that's what we're trying to display to them.",Metrics, Retailer Media Planner (AdManager), Impressions, Data challenge,,,,,,,,,,
"OK, because I read something yesterday. Someone showed DataGrid and I see the little bracket to explain what Fill Rate is. And the sounds a little bit different. Linda came comment on that. Do you know what's the Fill Rate?",,,,,,,,,,,,,,
I'm not the one working on this. Please let me check the best mode of calculations.,,,,,,,,,,,,,,
"So the Sell-Through we're showing that is actually different. We're not considering the Ads requested in RMP. We're simply saying, based on the positions in the placements you have available and this sort the data. So let's say for example in the last 30 days you had 10 million impressions across your whole website – across all of your placements. We’re then estimating that that will continue over the next 30, 60, [or] 90 days. So that is your total available impressions. And then we're looking at how many campaigns you have planned. And then we're taking the impressions those campaigns would fill, and then looking at the percentage of the total against the ones that you have planned, if that makes sense.",Impressions, Placements, Metrics, Retailer Media Planner (AdManager), Sell-Through Rate,,,,,,,,,
"So if I go, if I go back here. So what we're what we're saying ­– I'll just share my screen again – so I'm currently if I go next three months. So we'll make the next quarter, right? So we're currently in October. Well in October, November, December [as per the 3 month view in the RMP dashboard]. So in here [Top Monetised table] and again, bear in mind this is all old data, but just ignore that fact. And so we're saying this impression capacity figure of 14 million. This is based on the last 30 days data.",Impressions, Retailer Media Planner (AdManager), Data, Date or Time related,,,,,,,,,,
So we're saying in the last 30 days there were five million impressions for chocolate. So we're estimating that there will be 15 million over the next 90 days – because we're just multiplying it by three for that 90 days. For six months with multiplying it by 6. 12 months by 12.,Campaigns, Date or Time related, Sell-Through Rate, Impressions, Banners, Retailer Media Planner (AdManager), SPA (Sponsored Product Ads),,,,,,,
"So we're saying that's the potential capacity based on the existing data. We're then looking at campaigns that exist, or proposals that exist in the planner that use the keyword chocolate. We're then looking at which positions they're booked in – like which banner slots, or which SPA [Sponsored Product Ad] slots for how long. So we're then calculating, based on those bookings, 5 million impressions will be delivered. So then you have a Sell-Through rate of 40%, based on like you've only sold 40% of your 15 million [or] 14 million available impressions based on historical data. Does that make sense?",,,,,,,,,,,,,,
"Oh, I see this. Yeah, it's kind of forecasting.",,,,,,,,,,,,,,
"So we're guessing what's going to happen based on the last 30 days data. Ideally to make it more accurate we would look at previous corresponding period where if we had a year's worth of data, we could then look at October last year and then base the estimate on that rather than the last 30 days. Because obviously coming into Petertmas it's going to be wrong. You know the period after Petertmas will be wrong because the impression levels will be really high. But that's what we're doing.",Data, Date or Time related, Retailer Media Planner (AdManager), Impressions,,,,,,,,,,
"OK. I get it. This is to tell them ""Hey, we got this gap"". This 14.2 million of placement to fill in. And go and fill it up and you make money from it. I personally I feel like this is different to the Fill Rate we're talking about.",,,,,,,,,,,,,,
It sounds like it.,,,,,,,,,,,,,,
"And the other thing we're talking about is how much. How much you ask for.  You ask for 100 ads, but actually only like 20 is shown, as in prior. You know, had impressions on our website. I mean the purpose for this rate [in RMP] is different.",,,,,,,,,,,,,,
"Yes, I agree. Especially, looking at that that DataGrid calculate learners put there. The sum of impressions divided by the sum of the Ads requested. So yes, slightly different figures there.",DataGrid, Performance, Impressions,,,,,,,,,,,
"Yes. So, one of the key business problems of RMP, that it was trying to solve, is most retailers don't know what their total amount of impressions they have available is. Let alone what they've got booked. So the idea is we can display to them – like this top opportunities table [in the RMP dashboard]. The whole point of this is saying ""Hey, these keywords you're missing out on this potential revenue based on the impressions and the number that you've actually sold"". So it's trying to draw attention to that. And I think probably if they start, sort of solving this problem, then it probably would in turn also solve any Fill Rate issues as well. Because then you going to have more Ads requested. So it'll sort of even itself out, I think. They seem to be like not the same [types of rates] but connected in a way by the looks.",Ad requests, Opportunity, Retailer Media Planner (AdManager), Retailers, Business challenge, Fill Rates, Impressions,,,,,,,
"Hey, Mike, could I just ask you a question on the positions? Is this normalized and for every variation in the retailer. So obviously some of them sell different positions and different amount of positions. Are these figures specific to a retailer?",,,,,,,,,,,,,,
"They are for Banner but not Sponsored Product, I think at the moment. So that ties into what I was saying before with the campaign API stuff, we are starting to bring in exact positions, placements, all of that data. So instead of us just saying ""OK, you're booking something for a sponsor product position"". With the changes that are coming you would actually be able to say ""OK, you're booking this for sponsored product position 3 on the page"" for example and we know that that position is auction only or something like that. So yes, that will happen in the near future, when the work that they're currently doing is finished.",Auctions, Banners, Campaign Manager (AdManager), API,,,,,,,,,,
"Thanks, Mike. And the other thing is, I think I heard when I started [at AdManager] when I was chatting to Betty. But I'm not sure if this is true, that not all retailers sell every position. If they have positions, they only earmark a certain amount for auction. Like they don't sell everything.",,,,,,,,,,,,,,
"Yes. Some of them even go as far as like – the very first client I ever spoke to about RMP was OXO – they have 20 positions. They try to sell them fixed tenancy first. If that doesn't work, they will try to do it like, they'll discount the fixed tenancy rate. Then they'll try auction. Then they'll try and give away the fixed tenancy position. And then if they can't do that, they will then run their own house Ads.",OXO, SPA (Sponsored Product Ads), Placements, FTA (Fixed Tenancy Ads), Retailer Media Planner (AdManager),,,,,,,,,
"So promos, yeah.",,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,
"We were talking to brand last year and they said OXO, they just tried to open everything up [every placement].",,,,,,,,,,,,,,
"Yeah, because they [OXO] were the first ones to raise the idea of basically auctioning fixed tenancies. So having multiple brands bidding on the fixed tenancy? That was interesting. And it seems to be more retailers are starting to think that way as well.",OXO, Brands, Auctions, FTA (Fixed Tenancy Ads), Bidding,,,,,,,,,
And that makes sense for their business model as well with the online only.,,,,,,,,,,,,,,
"Yeah, exactly.",,,,,,,,,,,,,,
Thanks for that Mike.,,,,,,,,,,,,,,
"No, that's alright.",,,,,,,,,,,,,,
"The only reason I could imagine that brand would turn down a free fixed tenancy might be if they don't have the assets ready to go, or something like that. Because I would guess like that would be a very last minute thing [from OXO]. It would just be like ""Hey we've got this slot available from tomorrow"". Obviously, some brands will be able to take advantage of that. But potentially they will be approaching… at least in my mind, if you couldn't sell it, you probably wouldn't approach the brands that would normally pay for it and give it to them for free. You'd probably approach the brands that would never take out a fixed tenancy anyway to try and convince them that it's worthwhile. So maybe it's just a the brand's not mature enough to take it or something like that.",Brands, OXO, FTA (Fixed Tenancy Ads), Value or belief,,,,,,,,,,
"And I could be wrong. But to me, if I was able to sell those fixed tendencies to Coca Cola, for example, and they regularly pay for them. I wouldn't ever offer them one for free. Because then I'm just devaluing what they normally pay for. So I might go to, you know, some really tiny soda brand that has never paid for a fixed tenancy to say ""Hey, would you like to trial one for free for a week or a month or whatever, at no cost to you"". To then see if you do want to buy ones in the future. I think that's how they would do it. But I could be wrong you know. It's all conjecture, I suppose.",FTA (Fixed Tenancy Ads), Value or belief, Brands, Coca-Cola, Future opportunity,,,,,,,,,
"I was just thinking about that Mike, is your reminded me of something else? It could have been Coles; it could have been Sainsbury's. But they said similar to that scenario, when they when they left with a little bit of unfilled [positions] for some of their valued clients, they give away those spaces for free. But they give them away under the banner of promotion as awareness building [Ads]. So they're really kind of focused on impressions, but don't care about the click-throughs [CTR’s] and they're happy to give them. You know, I think it was Sainsbury's and they said from time to time every quarter they said one, they're really primo brands. They might give 5 to 10 thousand [dollars or pounds worth] of awareness building campaigns away for free to those big performing brands, but they're not worried about any click-throughs [CTR’s] at all.",,,,,,,,,,,,,,
"Yeah, that's also a possibility, I'd say. I mean, I definitely recommend speaking to OXO about that as well. Just to see their approach to it because they've got such a different business model being solely online and they’re quite a unique case in that regard.",Retailer Media Planner (AdManager), Follow-up, OXO,,,,,,,,,,,
"Can I ask you another question, Mike? Just related back to where you started. I know it sounds obvious you said self-service [clients] is a 2% to 5%, and managed service [clients], 30%. In your own view, why do you think managed services get a lot higher on the Fill Rates? And I know it might sound obvious, but what's your own view on that?",,,,,,,,,,,,,,
"My personal opinion is that the brands and the retailers probably don't put as much work into optimising and you know, keeping an eye on things compared to a managed service, where it's solely their job to do that, I guess.",Retailers, Brands, Value or belief, Managed service, Optimisation,,,,,,,,,
"Or they don't, or they don't understand the system as good as our internal people, right?",,,,,,,,,,,,,,
"Obviously the our managed service team there in our system, you know 24/7. But it's also their sole job to basically, optimise the campaigns and get them live and get them running and things like that. So that's my thought on it. I mean it's interesting because you don't see as much managed service in like Australasia and things like that. So it seems to be a very US style. I mean, even in Europe, I don't think there's much managed service at the moment.",Optimisation, Europe, APAC, Managed service, USA, Campaigns, Value or belief,,,,,,,
"Apart from like the Carrefour stuff. So it could also just be a different approach to how they do things. I don't know if that's sort of what you were thinking, David, or what you're sort of ideas are around it. Without sort of directly speaking to people and saying ""Why do you think this is?"". That’s sort of my understanding of it.",Follow-up, Value or belief, Carrefour,,,,,,,,,,,
"Yeah, it's probably the ecosystem [research] stuff that we're doing. We're finding a bit of a theme around this digital literacy and expertise. Specifically in the expertise [theme]. And I think you might be right. I think there could be a future bit of research in that. And people have the system, they can access the system. But unlike our Ad OP’s team, they're not really fully aware of all those levers and pullies that they can do and how they granularly affect [Ad performance]. And we're find it could be for some of our self-managed, it's kind of a bit in the too hard basket – bit in that ""I don't really. I'll leave it as it is because I don't know if I'm going to tweak it and overspend and run out of budget too early"". So you know best to do nothing rather than do something too aggressive.",,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,
"You know, it could be something like that. I think it's really… as a as a metric, Mike. It's really, really interesting. I'd love to dig into it further, you know, with the team.",,,,,,,,,,,,,,
"Yeah, I agree.",,,,,,,,,,,,,,
For the info.,,,,,,,,,,,,,,
"Well, I don't know if I've really answered the questions that you were hoping to get answers to.",,,,,,,,,,,,,,
I learn heaps. It's good.,,,,,,,,,,,,,,
"No, that's good. I'm glad I could help. If you have any other questions, I'm still here for two more days.",,,,,,,,,,,,,,
"Thanks again, Mike. Really appreciate it.",,,,,,,,,,,,,,
That's all good.,,,,,,,,,,,,,,
Alright. Thank you Mike. Thank you everyone.,,,,,,,,,,,,,,
"So when it comes to tiers and the way I look at it is that probably for your team probably isn't particularly helpful. So tier fundamentally comes down to how much revenue they're going to make for us. So you'd have the likes of Albertson's and Ahold [Delhaize], who are probably going to generate us millions of profit as tier 1. And the likes of SmartCart and Tech Data and Nectar in Europe, probably Tier 2. They're going to generate us anywhere from 1 to maybe 3 million [in revenue] if they've done really well. And then Tier 3 is under that.",Nectar360, Revenue, Tiers (customers), TD SYNNEX (formerly Tech Data), Retailers, Albertsons, SmartCart (Woolworths), AdManager, Ahold Delhaize,,,,,
"And now obviously for a business, they're all equally important, but realistically they're not. You want to focus on the big ones. So any improvements you're going to make you want to benefit those [retailers] and then generally what it do is it will then filter down so the likes of session ID’s that’s already been mentioned. Everything like that can be used by multiple retailers.",Customer needs, Retailers, UPC or Identifier,,,,,,,,,,,
"If you're thinking about making developments or finding out information – much like we discussed earlier – and what you might want to consider is verticals. So with grocery retailers and they obviously have all the set brands that we know, the Nestle's, Pepsico's, of the world. They will have targets of say 150% to 250% ROAS. And they want a very high conversion rate of 50% to 60% to be able to make enough profit of paying for a click and such like.",Retailers, ROAS, Conversion Rates, Nestle, Pepsico,,,,,,,,,
"If you then look at Tech Data, who were B2B technology, and their model is ever so slightly different. Their order value can be substantially bigger. Because one of the people viewing their platform might actually be a business who's about to place 500,000 Euros worth of IT infrastructure. So therefore, if they're paying for one click, they're ROAS is huge. So the approach is less around the metrics of conversion and more around high impressions and click-through rate [CTR] getting their products and in front of those buyers. But because you've got those buyers who are going to be spending a lot of money, you can be way more aggressive with CPC [Cost Per Click] and growing it.",ROAS, Impressions, B2B, CPC (Cost Per Click), Operations, TD SYNNEX (formerly Tech Data), Brands, CTR (Click Thru Rate), Europe,,,,,
"So like we discussed last week, we had five or six brands competing over the same key search terms on Tech Data and the bid got up to 150 Euros. Now if you compare that to any grocery one, the highest bid is maybe one or two dollars. Maybe the average is probably $1.00. So you have to look at the products they're selling and the vertical they sit in as to how they approach using AdManager.",Brands, Search terms / Keywords, Grocery, AdManager, Bidding,,,,,,,,,
"And then it changes it again for the likes of fashion. Now, if you imagine the buyer behaviour on fashion, your click-through rate is actually very, very low. You might be wanting a shirt for the women in digital [IT industry event in Australia]. So when you go online, you might look at 20 [or] 30 different shirts and click on each one. So you get a high number of clicks but your conversion rates very low. Sorry, not click-through rate. So with them they're using AdManager around awareness [building with buyers] trying to ensure their product is at the top of the page.",Buyer behaviour, AdManager, CTR (Click Thru Rate), Awareness (funnel),,,,,,,,,,
So they all want to have that same goal of getting the product there. But how they use AdManager; the metrics behind it; and what they deem as successful campaign changes vertical to vertical.,Metrics, AdManager, Campaigns,,,,,,,,,,,
"Yeah, grocery. Pretty standard is you're looking at sort of 150 to 250% ROAS. Conversion rate, you're looking from 30 to 60% conversion rate. And then a click-through rate, you’re probably aiming for between 1%  to 1.5%.",Grocery, Conversion Rates, CTR (Click Thru Rate), ROAS,,,,,,,,,,
"You're still right, it is for the brand and the advertiser. But obviously the retailer keeps track of it to ensure that they can go back to the brand and say ""Look at your performance. This is why you should spend more with us. We generate this for you off this amount of budget. If you know invest this amount of budget, we'll make even more"". So yeah, ROAS technically is the metrics for the brand, but it's used by the retailer to be able to sell more to that brand.",Budgets, Opportunity, ROAS, Brands, Retailers, Performance, Metrics,,,,,,,
"Well, retailers pretty much purely care about click-through rate [CTR] because it's click through rate which determines how much revenue they generate. The higher your click-through rates and the higher number of clicks, the higher the revenue you generate. So with ROAS – I mean we've currently got it with Big Basket there ROAS at the moment is a under 100%, but actually they don't really care because they're the market leader in India. The way they're positioning the platform is you pay to spend on our platform and more and more of India will see your products. So we don't really care what you're returns are we can build your [buyer] awareness on a scale you've never been able to do before. However, for them they're mainly focused on the CTR for their actual revenue.",Big Basket, Product, India, Retailers, Awareness (funnel), Revenue, CTR (Click Thru Rate), ROAS,,,,,,
"So it's it then becomes the second one [metric]. So your CTR dictates… I’ll start again. So you know how we kind of discussed last time around, you've got your first six months to a year, and you've got your 18 months.",CTR (Click Thru Rate), Metrics, CPC (Cost Per Click),,,,,,,,,,,
"Right, of course. So what we discussed last time is sort of your phases of a retailer. And you've kind of got two to three different phases. So your first phase is launch. And launch is about building traction. You probably want to aim… we normally aim to get sort of the top 20 brands that run on your platform, live. Get them running a couple of campaigns; putting in test budgets; and starting to build up data that the retailer can use.",Retailers, Business development, Operations, AdManager,,,,,,,,,,
"Then you have sort of phase two if you like. And in that phase, it's then reaching out to sort of the Tier 2 brands, the Tier 3 brands and building saturation and starting to increase the marketing around running a search platform on your ecommerce site and building it up.",Business development, Tiers (customers), Opportunity, Retailers,,,,,,,,,,
"And then you've kind of got phase three, which is all around saturation. So getting each brand to run campaigns on all of their different products. Getting multiple brands competing over the same search term, so becoming saturation.",Business development, Retailers, Search terms / Keywords, Saturation, Bidding, Brands,,,,,,,,
"So if you looked at one of our retailers in a launch phase, they probably got maybe 5% saturation to start. If you then look in that phase two period, you would have saturation of maybe 20% to 40%. And then when you get to that phase three period – like a SmartCart here in Australia – you're probably looking at 60% to 80% on the main search terms. So that's kind of the phases that you have with a retailer. Also, and it's not specific to your team but kind of AdManager as a whole, depending on what phase they're [retailers] in is sort of the requests of what they put into us [AdManager] as a business.",Business development, Saturation, AdManager, Australia, SmartCart (Woolworths), Search terms / Keywords, Retailers,,,,,,,
"So in a phase one retailer and they're just happy to run search and maybe some banners. Whereas you then get to a Phase 3 retailer, and they're the ones that reach out to and say ""What new features are you building? What is your and other capabilities that we can bring on to our platform and what we can do?"". Like an Ahold [Delhaize] with Adfluence for example, is in that period at the minute.",Business development, Ahold Delhaize, Search terms / Keywords, Retailers, Adfluence, Banners, Business norm,,,,,,,
And what was your question just before the phase of the retailer then?,,,,,,,,,,,,,,
"So your first starting metrics for a retailer with CTR.  Because it's the higher the CTR, the more clicks you're getting. Now naturally once you've then got a high CTR and you're getting a high number of clicks, the next way that you generate revenue is by increasing the value of those clicks. So at phase one retailers are mainly focused at getting their CTR to a good place. You're not going to have much competition because you might just have one or two brands targeting each search term, so there's no competing bidding.",CTR (Click Thru Rate), Retailers, Business norm, Revenue, Competitor,,,,,,,,,
"But then once you get into that phase two phase three, that's when they start focusing on getting all of the brands to compete on the same search terms. And then that's when it gives them the opportunity to be able to speak to those brands and say ""Hello, brand B, you're currently not performing as well as brand A. One of the reasons could be your bid, if you want to increase your chance, you need to increase your bid"". And that’s when you start driving the competition on the platform and increasing their CPC.",Search terms / Keywords, Business development, Bidding, Brands, CPC (Cost Per Click), Retailers, Opportunity,,,,,,,
And then the sweet spot for any retailer is a high CTR and a high CPC. Because then that maximises how much revenue you can generate.,CTR (Click Thru Rate), Revenue, CPC (Cost Per Click), Retailer needs, Retailers, Business growth,,,,,,,,
"So, competition for a retailer in relation to AdManager is multiple brands competing on same search terms or categories. And like we say, if you imagine for example Woolworths, they're minimum bid is 50 cents. Now, if they don't have any competition – if Nestle's targeting chocolate and PepsiCo is fizzy drink but they're not crossing over – then they will only ever generate 50 cents on the CPC, no matter how many campaigns they run. What they actually want is Coca Cola and Pepsi both targeting fizzy drink and so on, and so forth. So that's what they're talking about when it comes to competition with AdManager.",Competitor, Woolworths, Coca-Cola, CPC (Cost Per Click), Categories, AdManager, Bidding, Search terms / Keywords, Pepsico, Brands, Nestle,,,
So I'm just trying to follow the flow of the explanation of the different stages of retailer. So my question is a bit further down. So I've been always interested in what are the different revenue models we have to benefit from the retailers.,,,,,,,,,,,,,,
So do you mean revenue to us?,,,,,,,,,,,,,,
"Yes, that's our ultimate goal to increase our AdManager revenue.",,,,,,,,,,,,,,
"So you kind of have three models. If I go through each of them and then I can do a breakdown of who has what. So you have a flat fee. So grocery, we'll only ever charge you $100,000 a month. And no matter how much or how little that you do through the platform. You then also have Rev share. So once again [for] grocery, we don't charge you anything to use our platform, but we want 15% of all Ad spend that goes through your platform. So as you grow, we grow.",Fees or Charges, Grocery, AdManager, Pricing structure,,,,,,,,,,
"And then the final model is a combination of both of those. So and we will charge you a fee of say 15,000 to $20,000 a month for some of our base costs and then we will give you an 8% revenue share. So we cover some base costs, but then you as a retailer, as you grow, we will then start to reap benefits as well.",Fees or Charges, Opportunity, AdManager, Revenue,,,,,,,,,,
"And now it's not kind of standard who takes what? So it doesn't just come down to what vertical you're in. It depends on market size of business, so on and so forth. So if you look in Australia, Coles and SmartCart, Woolworths, both on a flat fee. If you look at a lot of the retailers in America, a lot of them are predominantly Rev share. And then say for example Big Basket in India and they're a combination of the two.",Revenue, Australia, Retailers, India, Big Basket, USA, Woolworths, SmartCart (Woolworths), Fees or Charges,,,,,
"So it does kind of depend on market factors as to what sort of contracts you have. So when it comes down to focus from AdManager, sometimes it can be difficult who you put your attention on. So for example, for SmartCart for the last two years, we can't actually earn any more money out of them per month. Even if we offer them far more services.",AdManager, Business challenge, Revenue, SmartCart (Woolworths), Contracts,,,,,,,,,
"However, on the flip side, I'm going down there on Wednesday to negotiate a new contract and basically what I've done is I've seen all the data for the last two years and how much it's grown. So I want to increase their contract by 40% to cover the next two years. But it is very subjective.",AdManager, Business growth, Contracts,,,,,,,,,,,
"The ones that could in theory generate AdManager the most amount of revenue are those Rev share ones. So Tech Data who I used to manage in Europe, the first year made us sod-all [little] money. I think it made us about 9000 Euros for the year while we were getting them up and running and launching and learning how AdManager worked. But then in the 4th year when I went, I think it was at 1.6 million Euros – so 3 million AUD [Australian dollars] – all through that Rev share model. So Rev share gives you the biggest opportunity, but also it is the highest risk in the first year of the business. Because the likelihood is you will run at a loss for the first year.",Revenue, Opportunity, Business challenge, TD SYNNEX (formerly Tech Data), AdManager,,,,,,,,,
"Thank you. That makes a lot of sense to me. So in terms of us developing a new feature that could potentially optimise any of the metrics you mentioned like from CTR, CPC to eventually some other metrics. What do you think will be the selling point when we sell this feature to the clients that could either exploit more opportunities from the Rev share, and also open some new opportunities to those flat-fee retailers?",,,,,,,,,,,,,,
"Yeah, I think any improvement you can make for base performance. So let's take CTR as a as a simple one. And whenever I'm talking with clients, I always talk about stickiness. And it it's by no means a technical term, but it's just getting AdManager to that point where they can't stop using us.",Performance, Retailer needs, Brand needs, CTR (Click Thru Rate),,,,,,,,,,
"So for example, Woolworths, they've had this target in their mind of 30 million revenue generated by AdManager and actually this year we're going to hit it. So we're now really, really sticky in their business. Something would have to go cataclysmically wrong them to step away. But if you can increase the likes of CTR, all you're doing is generating more revenue for their business.",Revenue, CTR (Click Thru Rate), Retailers, Woolworths,,,,,,,,,,
"So if they are on a Rev share model, that's great. We instantly get gratified and see more revenue. But even if they're on a flat-fee, if that CTR increases their performance. Then the next time you come to contract negotiation you can say ""Last year we made you 10 million. This year we've made you 15 million. We were charging you 100 grand a month because of that growth and everything associated. We're now going to charge you 120 grand a month for the next period of time"".",Fees or Charges, CTR (Click Thru Rate), Revenue, Performance, Business challenge, Business growth, AdManager, Retailers, Contracts,,,,,
"So the only difference is from our side is how quickly we see a return. Yes, the Rev share, we see a return quicker onto our books. But even if you're on a flat fee for an extended period of time, if you increase performance, you get the opportunity to negotiate again when it comes to the end of the contract.",Performance, Contracts, Revenue, Opportunity, Business challenge, AdManager, Fees or Charges,,,,,,,
Yep. Thank you.,,,,,,,,,,,,,,
