OBSERVATION,TAGS,,,,,,,
There are also unique outliers that turn up around unique properties sitting in an area where the median price of properties could be at a lower level. This can cause a 'red flag' risk if an owner spent a lot more than the median price for their build.,Unique Property, Property Value, Risk or Impact, Owner-Occupant, Location or Postcode, Challenges,,
"Construction build, renovations and new builds all come with challenges that require physical valuations.",Physical Inspection, Renovations or Improvements, Challenges,,,,,
"Lenders can focus on the property value, but valuers are considering wider risks and other location or environmental factors.",Property Value, Risk or Impact, Environmental Data, Lenders, Location or Postcode, Valuers,,
Commented that experienced valuers will use a list of decisions and critiquing they will go through when assessing a property.,Decision Making, Assessments,,,,,,
"It's so commoditised [with valuation ordering]. It's insane how commoditised we've become. We would so much prefer to do things differently. And if we as a business, CBRE, could differentiate that and change the way some of those things are done. Then that's what we'd like to do.",Valuation Orders, Costs, Challenges, Change or Disruption,,,,
"Asked about barriers to performing more Kerbside valuations and commented that desktop valuations have been reduced to a cheap monetary exchange. So cost may be a factor, but kerbsides would be cheaper than a full valuation.",Opportunity, Kerbside Valuations,,,,,,
Commented that this factors of resistance and opportunities that could come to market would be better served in a partner forum/workshop in the future with MarketValuer. Felt that CBRE could not achieve this outcome on their own.,Opportunity, Resisting Change, Change or Disruption, FOLLOW-UP,,,,
"I think, yes there's plenty of run to disrupt [the valuation industry].",Change or Disruption,,,,,,,
Kerbsides have the advantage of being at a property without the need to arrange an access appointment to a property with a home-owner or resident.,Opportunity, Kerbside Valuations, Booking Appointments, Owner-Occupant, FOLLOW-UP,,,
"On average it's 2 days. It's 10 business hours to get an [inspection] appointment, in general terms. And then beyond that it's how long away the appointment will be, and all those sort of things.",Challenges, Booking Appointments,,,,,,
"We think, to be honest, that a Kerbside will be quicker than a Desktop in a lot of respects. Because the valuer, when they're there... there's just a different level of confidence that exists if they're actually at the property.",Opportunity, Kerbside Valuations, FOLLOW-UP,,,,,
"Kerbsides could be quicker and more cost effective than Desktops in terms of non value-based queries that occur, as well as value-based Desktop queries and escalations to Full valuation where lender do not get the outcomes they need to progress a loan decision.",Opportunity, Kerbside Valuations,,,,,,
"Assessment of apartments can also be challenging for Desktops, as valuations can be affected based on a favourable or non-favourable view within apartments within the same complex or building. In some respect a valuer will want to be physically at the apartment property before they put a value on it.",Units, Challenges, Desktop Valuations,,,,,
"Participant spoke about unique property examples like over-capitalisation, or a unique construction or build.",Property Value, Risk or Impact, Debt, Construction Build, Unique Property,,,
"We as an industry, I think have had to get our heads around Desktops, and their role in the industry. And for want of a better term, to remove the insecurities around Desktops taking over the role of a full inspection. I think that's played out in the last 6 to 12 months particularly. Given the resourcing issues that exist. So, I think we're better at it [using Desktops] as an industry. But there's probably still some education that needs to happen with the valuers. With some specific valuers who tend to escalate [from Desktops to Full valuations] a little too quickly.",Concern or Worry, Desktop Valuations, Escalations, Change or Disruption,,,,
Concerns in the industry have been around change that could impact on income or livelihood.,Concern or Worry, Change or Disruption,,,,,,
"The valuation industry has been slow to embrace change. And there's a level of insecurity around big data, and the role that that can play in not requiring valuations [i.e. AVM's] or the valuer in the process. And that's just human nature, I think. You're looking for ways to remain relevant.",Change or Disruption, Data, AVM, Resisting Change, Values and Beliefs,,,
"Commented about challenges the industry will face if the banks move thresholds for Desktop valuations to 2 million dollars, or above. Also said that valuers would be reticent to provide valuations at that higher threshold level.",Challenges, Desktop Valuations,,,,,,
Need to dig into this further in terms of how it would affect valuers and an ethical research approach if MarketValuer were advocating for this in terms of impact on valuers' livelihood and income.,Risk or Impact, FOLLOW-UP,,,,,,
Participant commented that the industry is in a period of transition and was also thinking about what role valuers will have in this change.,Change or Disruption, Challenges,,,,,,
"That's red flag everywhere. They'll [valuers] just elevate risks. The valuers are salivating over that sort of stuff. I mean, it makes the job more difficult. But, they'll just be highlighting that and reporting it back in the strongest of terms.",Risk or Impact, Physical Inspection, Renovations or Improvements, Valuation Reports,,,,
"Commented that when the valuer goes back to report a renovation to the bank (and seek advice on how the bank wants to proceed), and a normal response from the lender is they were not aware a renovation was in progress. Banks will then need to seek some information from their borrower around builders' quotes, etc. In this instance a valuer may be instructed to do an 'as if complete' valuation on the property.",Renovations or Improvements, Valuation Reports, Value Add, Physical Inspection, Challenges, Documentation,,
"Noted that an in-progress renovation and as if complete assessment can impact the overall valuation. Depending on the size of the renovation, the valuation may become a construction valuation - with more complications for the lender.",Challenges, Physical Inspection, Renovations or Improvements,,,,,
"Property owners/borrowers do not always have correct, or any, building permits or town planning for their renovation and this can cause issues with a current loan application and valuation. This commonly occurs when property owners attach an outdoor room to their property. For example, owners put a shelter and walls over a deck, and add fire-pits and enclose the area.",Physical Inspection, Owner-Occupant, Building Permits, Risk or Impact,,,,
It opens up a whole raft of different things. And we have seen all of those scenarios play out.,Physical Inspection, Risk or Impact, Renovations or Improvements, Building Permits,,,,
Commented that valuers are the eyes and ears of the lender to help highlight any risks and issues on a property.,Risk or Impact, Physical Inspection, Valuers, Value Add,,,,
Asked if valuers ever receive any development application (DA) data on a property prior to an inspection. Responded that this generally does not happen. But added that receiving DA data before an inspection would be helpful.,Needs and Wants, Development Planning, FOLLOW-UP, Opportunity,,,,
"Commented that Cordell data currently comes from CoreLogic and has data about construction and development applications. Also noted that this data from CoreLogic was not up-to-date.

",Competitor Products, Competitor Advantage, FOLLOW-UP,,,,,
"We think that's absolutely appropriate for this point in time that we need to move away from what the current guidelines are. We can stand behind our PI insurance, but we would like to move [in a new direction]. Let's use the [API] PropertyPro report as an example. We think there's a place for a different report that nails the credit decision for the bank, a lot better than that does.",Opportunity, Insurance Provider, API Organisation, Change or Disruption, Credit Risk, Decision Making, Property Report,
Commented they would welcome the opportunity to partner and work with MarketValuer to drive this change. But also mentioned it depends on the banks risk appetite to move in a new direction and disrupt some current ineffective practices,Opportunity, Partner Opportunity, Change or Disruption, Embracing Change, Banks, Risk Appetite, FOLLOW-UP,
Commented that there will be future opportunities to be found through partnering with organisations like MarketValuer to continue to stay relevant and stay profitable.,Opportunity, Partner Opportunity, MarketValuer, Embracing Change, FOLLOW-UP,,,
We're very confident as a business that we can [stay relevant]. But we're probably looking to a partnership with the likes of yourselves [MarketValuer] to ensure that that's the case. And we've got some ideas around how that can happen. But there's still a fair bit to play out on that front of thing.,Opportunity, Partner Opportunity, Embracing Change,,,,,
"Commented around valuers' fears that were present when Desktop valuations first appeared in the market. Valuers were worried that Desktops would take over and all valuations would take place at the back-of-house. Valuers initially pushed back on Desktops. But, these fears have somewhat subsided.",Valuers, Concern or Worry, Change or Disruption,,,,,
"Asked if nervousness around Desktop and industry changes were based on employment and income, or having surety that Desktops would be as accurate as physical valuations. Responded: Thought the fears were based on a bit of both [reasons].",Desktop Valuations, Change or Disruption, Concern or Worry, Valuers,,,,
"There's an element of, 'Is my career secure, and is my income secure?' And then secondly, they're going 'I'm not really that comfortable'. I'd suggest if they're really not that comfortable that's when they're escalating [to Full valuations].",Concern or Worry, Change or Disruption, Areas to improve, Opportunity,,,,
Suggested there could be an opportunity for partnering with MarketValuer and working through challenges and potential new products that could be brought to market within day-long workshops.,Opportunity, Partner Opportunity, Embracing Change,,,,,
"Commented that Kerbsides are currently under-utilised within the industry and mention all the CBRE valuers now have tablets to conduct valuations, and this is a normal occurrence for most valuation firms. Valuers will input property data on tablets when conducting Full valuations.

",Kerbside Valuations, Opportunity, Digital Tools,,,,,
All valuers use tablets and use the CBRE TOPS system to complete a physical valuation. Use tablet camera and an in-built measuring device that synches up with the TOPS system.,Habits and Routines, Valuers, Digital Tools,,,,,
High on wish-list was a mapping tools to use on inspections where a valuer could stand outside a property being valued and have a mapping display of all sales within the proximity of the subject property. This would allow valuers the ability to plot an overlay and radius of comparables in a mapping tools. This would help make valuations inspection much more efficient.,Needs and Wants, Opportunity, Areas to improve, Digital Tools,,,,
"Valuers can do this today using CoreLogic or MarketValuer but they are then working out distances and comparable sales manually, outside of their TOPS system.",Needs and Wants, Competitor Products, Digital Tools, Areas to improve,,,,
Most valuers are working remotely with their own expert areas and may go into the office occasionally to complete reports.,Habits and Routines, Valuation Reports, Valuers,,,,,
"Asked about lender frustrations with valuation delays. Commented if the banks' customers are willing to give access and are available, then there shouldn't be any valuation delays.",Areas to improve, Delays, Frustration,,,,,
"The problem over the last 12 months has been resourcing. As an industry, hopefully we've responded to that better than others. The sheer volume of work has meant that valuers should be booking for the next day. And unfortunately, it's been situations where they're booking 3 and 4 days in advance. And like, 3 or 4 days where you're looking for some money or looking for an outcome is sometimes too long. The banks then have to go through their process so it's a bit drawn out.",Challenges, Delays,,,,,,
Commented that CBRE have ideas around a better solution to alleviate some of these delays.,Opportunity, Delays, FOLLOW-UP,,,,,
"Commented they hear about a lot of frustration experienced on the lender side, noting that the post-valuation query process is a draining process - both on the lender and the valuer. Non value-related queries can be admin related that could be fixed by the lender before they get to the valuer.",Pain Point, Valuation Queries, Frustration, Time and Effort,,,,
Value-related queries requires responses and comments from the valuer and noted that valuer are not usually that keen to change their valuation figure.,Valuation Queries,,,,,,,
Commented that lender find it frustrating when 2 separate valuers (or valuation firms) go to the same property within a short space of time and their valuation figure can be significantly different.,Assessments, Frustration,,,,,,
Commented that lender find it frustrating when 2 separate valuers (or valuation firms) go to the same property within a short space of time and their valuation figure can be significantly different.,Assessments, Frustration,,,,,,
"I think that's a frustration that I can completely understand. I don't know what the answer is to that. But that causes some angst within the banks, I think. And then it creates perception around 'Ah, these guys are conservative for this bank', and none of that exists.",Frustration,,,,,,,
"That's just the nature of the business. It comes down to a persons view of both that market, and how they've interpreted the sales. And the other reality too is some valuers are conservative; other valuers are bullish. Again, it comes down to a lot of different factors.",Values and Beliefs, Assessments,,,,,,
Where queries come into the valuation firms from a bank they are managed through their internal systems. Work is allocated per suburb to specific valuers. Their internal system has rules around suburbs serviced and valuers nominated to specific suburbs.,Business Practice, Valuation Orders,,,,,,
"Our strength is we are able to keep valuers in tight geographic areas. And the jobs, as soon as they get logged into our system get directly allocated to a valuer who's nominated to that suburb. And then we've got the capacity management 'Ok, this valuer has got enough'. And then we've got to go a second valuer for that suburb.",Business Practice, Valuers, Value Add,,,,,
Contact details and emails are also tracked through their internal system.,Business Practice, Valuation Orders, Booking Appointments,,,,,
"Asked if CBRE would be open to the idea of MarketValuer staff shadowing a valuer on a physical inspection. Responded, they would welcome the opportunity.",Opportunity, Physical Inspection, MarketValuer, FOLLOW-UP,,,,
"Asked if there was an opportunity to communicate key milestones in the valuation ordering and fulfilment lifecycle to lenders in messaging via an API. Responded, that doing this would be a positive.",Communication Tools, Valuation Queries, Feedback and Communication, Feedback Positive,,,,
"A lot of time the valuers trying to make an appointment and the borrowers, not able to do it. Or, there's times when they say I want an opportunity to clean the house, and mow the lawn and do the garden. So they say could you come next week. Knowing that we really need to get them [the reports] back. The banks are, you know 'Come on we need an answer here!'.",Booking Appointments, Delays, Valuation Reports, Challenges,,,,
"Currently booking appointments and managing visits to properties is very manual. The intention was they CBRE system would be more automated, but though the way the system is currently set up it does not manage bookings and notifications automatically.",Needs and Wants, Areas to improve, Pain Point, Booking Appointments, Time and Effort,,,
In MarketValuer Connect there is support for notification of appointment books. ,Communication Tools, Booking Appointments, MarketValuer, FOLLOW-UP,,,,
"I'd have to come back to you on that one. But I don.t think there's the opportunity to do that. Is there, could you tell me, I think that would be appropriate. The valuer probably escalates it [desktop] to the higher fee. But, you know if you put some parameters around that it could certainly work.",Escalations, Partner Opportunity, Desktop Valuations, Kerbside Valuations,,,,
"I think the valuation industry as a whole is extremely slow to embrace change. It gives me a bit of anxiety because we will be disrupted unless we disrupt the other way. We're really desperate to disrupt. We're ready to go on it. And we're ready to push change, and significant change. It would provide a significantly better outcome for our clients as well.",Embracing Change, Change or Disruption,,,,,,
Commented they had ideas on what that change would look like. But also added that would need a more formal partnership as a forum to explore and develop ideas.,Embracing Change, Change or Disruption,,,,,,
Sees an opportunity to align new products more with the needs of the clients.,Digital Tools, Opportunity,,,,,,
"The way that we're operating now is still the way we were operating in the late 80's. Just with better technology. We're still using the same report; same format. I mean it's quite ridiculous. As I said I think there's opportunity for significantly more products aligned to the risk and the credit decision. We could have spoken about this at the start of this conversation around what is the appropriate job in terms of is it a kerbside, is it desktop, is it an AVM for this property.",Change or Disruption, Risk Appetite, Credit Risk, Valuation Reports, Risk or Impact,,,
Commenting the need to align better with client need and achieve better result in responding to valuation orders and turnaround times.,Areas to improve, Valuation Orders,,,,,,
Commented that there is change currently underway in some of the banks.,Change or Disruption,,,,,,,
"What CBA have done in recent years is starting to make others I think is stand up and take a bit of notice. 'Hang on, this could be done a bit better'. But again I still think there's room for innovation. For them [CBA] as well.",Change or Disruption, Credit Risk,,,,,,
"Commented that cost of developing new and innovative products was a big restriction for most valuation firms. But noted that technology innovation was going to play a significant part in the industry moving forward. However, was unsure if valuation firms have the means to be able to embrace the cost of innovation.",Costs, Blocker, Change or Disruption, Concern or Worry,,,,
"Some valuation firms are comfortable with a different set of instructions, a different set of clients and a different type of work. Which doesn't necessarily require the same level of technology. But I think in our space - in the mortgage space - that it clear that it needs to be done.",Change or Disruption, Business Practice,,,,,,
See cost as the number one challenge to adapt and change as well as innovate. And then other factors to respond and process valuations in an optimal way.,Costs, Challenges, Change or Disruption,,,,,
Noted that embracing and going on the innovation journey will be challenging for some valuation firms.,Embracing Change, Change or Disruption,,,,,,
"We want to move away from the API. We want to do our own thing. I want to produce a 15-point report which is just a data feed into 'these are the 10 or 15 really important things that you're looking at when you're going through a property'. And if it's black and white and like I said if it aligns with the credit decision at the back end. There's so much grey in the valuation report. And from my prospective there's so many data fields that are just irrelevant now. They don't add any value. There's other things that add so much more value and also allow for a smoother, cleaner easier process.",API Organisation, Change or Disruption, Valuation Reports,,,,,
The reality is the API is looking after the smaller firms. And by doing that it stops progress because they can't keep up. We want to drive change away from the status quo.,API Organisation, Resisting Change, Change or Disruption,,,,,
API enforces restrictions on property value thresholds for desktops and this is hindering progress.,API Organisation, Resisting Change, Change or Disruption,,,,,
"Valuers work in a team of 10, with a manager who offers support within each team. There is also a valuer care team known as VCAD (valuer care and development). The VCAD team run all the tuition and training on all new products that come to the market.",Valuers, Support and Education, Training,,,,,
Commented they [CBRE] offer a good level of internal training to valuers.,Training,,,,,,,
Mentioned future opportunity to collaborate on future product ideas with CBRE.,Opportunity, FOLLOW-UP,,,,,,
Would like to be included in further rounds of testing.,FOLLOW-UP,,,,,,,
"Commented maybe orders over $1.5 million were coming in from brokers where they haven't reviewed the data set, or data sets were incomplete.",Understanding Unclear,,,,,,,
We only see it from a valuations' firm perspective so I'm not sure exactly what happens at the banks end. You know... somebody incorrectly has put the information in which has allowed it to flow through as that valuation type. I'm not sure.,Understanding Unclear, Valuation Orders,,,,,,
Sometimes a desktop valuation gets ordered by the brokers instead of a construction valuation.,Desktop Valuations, Brokers, Construction Build, Pain Point,,,,
"Commented that escalations can occur on an order when a house is being built (i.e. there is no existing property to assess), and a desktop has been ordered instead of a construction valuation.",Pain Point, Escalations, Construction Build, Valuation Orders,,,,
"Commercial properties can also filter through to residential valuation orders (for example, a shop, a mixed-use property or even a residential property that is used for commercial purposes). Orders would require cancellation or escalation to a different valuation type.",Pain Point, Commercial Property, Valuation Orders, Cancellation, Escalations,,,
"Escalations of desktops can come down to the sales evidence available, the property information available, and how confident a valuer is to complete the desktop valuation.",Escalations, Property Sales,,,,,,
"Not really. It would have to be an unusual circumstance, or where somebody's internally has raised an issue or a theme that they're seeing. And we would address it. From our end we would need somebody to raise it I guess.",Feedback and Communication, Opportunity,,,,,,
"Because the Desktop's are done through a third party. So, your platform, or ValEx has got one. As a val firm we don't have all of the data. So we're not seeing which ones have been escalated; which ones have been completed, and those reasons the valuers are selecting [for cancellations or escalations]. Sometimes it's a challenge for us, I guess, to be proactive about it.
",Data, Data Gaps, Competitor Products, Challenges,,,,
"There is a future opportunity around providing transparent feedback, messaging and report progress updates to both lenders/banks and the valuation firms.",Opportunity, Feedback and Communication, Valuation Reports, Valuers, Lenders,,,
Commented on lack of sales evidence in a desktop valuation. There is an expectation that valuers will only invest so much time and effort into investigating on sales evidence before escalating.,Property Sales, Data Gaps, Expectations, Time and Effort,,,,
"Remote areas or unusual property types can also be challenging (for example, a property could be unusual for a certain location where sales evidence for that subject property is limited or not available).",Regional or Remote,,,,,,,
Commented that unusual properties can sometimes require extensive research to complete (and can usually get escalated from desktop to a physical valuation),Unique Property, Time and Effort, Physical Inspection, Property Research,,,,
New developments areas or locations can also be challenging.,Units, New Developments,,,,,,
"Apartments can also be challenging, especially in larger cities where there can be a large variation in the quality or 1- or 2-bedroom properties. For examples, size of units, quality of the unit and the development, views and aspects can differ greatly, and this can affect the assessed value.",Challenges, Units,,,,,,
"In Melbourne you can have a 1-bedroom unit probably as tall as 35 or 40 square meters. Or it could be a 1-bedroom unit of 75 or 80 square meters. Could be potentially double the size. So, often those Desktop assessments are challenging for the valuers. Particularly if it's in a development where they [valuers] haven't been in there before. Or they don't know a whole lot of information about it. Obviously, a new development as well where there hasn't been a long run of transactions in there to compare to.",Units, Desktop Valuations, New Developments, Challenges,,,,
"In some remote areas they'll [valuers] will drop into local real estate agent offices to actually talk to real estate agents about what they've sold. In some cases will actually go back to as long as 12 or 18 months ago before they can find a reasonable sale. And in some remote areas offering a unique property, so I guess those sales parameters just get broadened so they can look at neighbouring towns or suburbs quite a while over [in distance], what you would have traditionally think of using, I guess in a desktop scenario.",Regional or Remote, Property Research, Unique Property, Time and Effort, Challenges,,,
"Commented for assessments in regional areas, the valuers may travel for up to a half hour to a nearby town to seek out comparable sales evidence. ",Regional or Remote, Time and Effort, Property Research, Property Sales, Challenges,,,
The radius distance needed for remote properties in finding sales evidence makes desktop valuations challenging with the comparable sales radius and recency of sales parameters.,Regional or Remote, Desktop Valuations, Challenges, Property Report,,,,
"Generally, the desktops you're required to be within a shorter timeframe. But, when you're doing a physical inspection and you're doing a full valuation report, you have the ability when you're using that data evidence, is to provide expanded commentary on it. So that the reader of the report [lender or broker] can understand why you've used evidence which is old or dated, or from a different suburb. You also get the opportunity to apply those risk ratings to the valuation as well so the lender can take into account those limitations [of sparce sales evidence] that the valuers had to consider in the valuation report.",Desktop Valuations, Expectations, Property Sales, Regional or Remote, Valuation Reports, Risk or Impact, Areas to improve, Opportunity
Commented that type of risk rating and expanded commentary in physical valuation reports were not applicable within the desktop report.,Risk or Impact, Physical Inspection, DeskTop 1.0, Feedback Negative, Valuation Reports, Data Gaps,,
"Some valuers only accredited to RPV level (Registered Property Valuers), which is a lower valuation qualification, and all their work has to be checked. 

Only a CPV  (Certified Property Valuers) can sign off on certain report activities or raise report for investigation or as part of an expert witness request). Some valuers only accredited to RPV level (Registered Property Valuers), which is a lower valuation qualification, and all their work has to be checked. ",RPV, CPV, Qualifications, Review Signoff, Valuers, Challenges,,
"For valuation over $2m, all reports must also be checked and signed by a dedicated signatory.",Business Practice, Valuation Reports, Review Signoff, Challenges,,,,
Current industry challenges are around turnaround times for reports and serviceability or credit implications.,Challenges, Valuation Reports, Service Levels SLA, Credit Risk,,,,
See changes needed to valuer qualification to make it easier for new people coming into the industry to get qualified or expand the scope of what valuers can do to help make turnaround of reports easier.,Qualifications, Valuers, Change or Disruption,,,,,
Sees increased push on the industry to perform more desktop valuations. Noted some banks still use kerbside valuations and similar products and sees these products moving to desktop.,Banks, Desktop Valuations, Kerbside Valuations, Change or Disruption, Opportunity,,,
Would like to see the use of video and virtual technology and see a place for these digital tools within the valuation industry. We've seen this in the last 18 months with Covid.,Digital Tools, Embracing Change, Opportunity, COVID,,,,
"I think WBP's well placed for that. We've got a pretty cool integrated solution inside our platform. So, I think Covid potentially opened the door for a few of those things.",Values and Beliefs, Opportunity,,,,,,
"I'd like to see some change in that. I think it's just going to be more and more data. I think there will be different data sets that we're not currently using or not even thinking about now, that in 10 year's time will be really prevalent.",Opportunity, Embracing Change, Data Sets, Digital Tools, Change or Disruption,,,
There is a future opportunity for MarketValuer to explore in ways to digitise the valuation journey to a higher degree.,Opportunity, FOLLOW-UP, MarketValuer,,,,,
"Putting data sensitivities aside, I guess there's potentially some benefit there to share that information. I guess it does come down to how sensitive's the information. I guess as valuers sometimes we've got access to evidence which is undisclosed to the market. So, we've got to be careful there. The valuers do need to be careful there on sharing that information.",Opportunity, Data Sets, FOLLOW-UP,,,,,
Asked about the nature of undisclosed information and responded that after some public auction sales a property owner will request the sale price is recorded as undisclosed.  In this case the real estate agents or property owner will not share the sales information.,Agents, Sales Infomation, Owner-Occupant,,,,,
"In addition, there are other private sales where the real estate agent will not report the sales information.",Private Sales, Agents, Sales Infomation,,,,,
"Once the property has been settled and there's been a, I guess the transactions gone through and it's recorded on the state-based, sort of like in Victoria, the Valuer General's [VG] website then we've got access to it. So, then it becomes public I guess.",Data Sets, Valuer General,,,,,,
"For physical valuation, valuers usually bring mobiles and tablet devices to use the camera for photos and also a measuring device. WBP is generally paperless so inspections can be recorded on their devices. Noted a small number of valuers may also use pen and paper as well.",Habits and Routines, Physical Inspection, Photos, Digital Tools,,,,
"There's some devices you can get or some app I think, which can do, like you could stand in a room - and I actually don't know what they're called, there's a sort of technology for it - but, it can basically work out all of the walls and the room and stuff like that quite quickly. That's not broadly been used at the moment, but that's been mentioned by some valuers.*


",Digital Tools, Opportunity, FOLLOW-UP,,,,,
"The process for inspecting a property is reasonably straight-forward. Potentially some of regional or rural valuers who are valuing big properties might have some other tools that they use to help verify boundaries. **

",Physical Inspection, Regional or Remote, Needs and Wants, Data Sets, Opportunity, FOLLOW-UP,,
"Based on data coming through on valuation reports, WPB's internal system can flag compliance issues based on keywords to flag where certain reports need to be reviewed by a compliance team member. Reports can be flagged based on high-risk rating; if valuers haven't supported the contract of sale price; or if certain mandatory requirements from certain banks haven't been captured (commented flag can be added at a client level).",Valuation Reports, Compliance and Regulations, Risk or Impact, Business Practice, Banks, Decision Making, Standing Instructions,
Valuation orders are managed by admin team members and booking co-ordinators who help manage the property appointment schedules for valuers. The booking co-ordinators will also try to look at the documentation provided by lenders and brokers. And sometimes valuers will get to the orders first.,Valuation Orders, Booking Appointments, Business Practice,,,,,
"Orders come through the main WPB system and depending on the information and valuation or property type, orders will automatically flow through to valuers or get held in a queue for someone to first review the orders and manually allocate. The WPB ordering workflow system also uses rules to help with allocations and assigned. Additionally, some jobs will go to the customer to book as well.",Business Practice, Valuation Orders, QA,,,,,
Asked about lender and broker frustrations in valuation order delays. Responded there are usually always delays in valuations - especially for physical inspections.,Frustration, Delays, Lenders, Brokers, Physical Inspection, Valuation Orders,,
"Most of the valuations we do we have to get physical access to the property. So, there's always a delay there.",Physical Inspection, Delays, Booking Appointments,,,,,
"There's so much work around at the moment. Most of our valuers are probably booked today, tomorrow and Wednesday. So we're probably scheduling inspections in for Thursday at the moment. So when we call the customer [property owner], if the customers not necessarily available when we're available on the Thursday it could potentially be booked in for the Friday. Everyone's busy I guess.",Booking Appointments, Challenges,,,,,,
Also commented on valuation report queries raised by lender or brokers can also be impact on turnaround times on responses where a valuer may be out on a physical inspection.,Valuation Reports, Valuation Queries, Service Levels SLA, Physical Inspection,,,,
Commented that valuers generally do inspections in the more and focus on completing that report before addressing other valuation report queries from lenders and brokers.,Valuation Reports, Valuation Queries,,,,,,
"My advice always is that brokers and lenders need to get the valuation request into the system as soon as possible. I guess often we are finding that we are getting a valuation request a week before the property is due to settle. If we've got access issues with a tenant or a real estate agent, or a home owner, and we've got valuers already booking a couple of days ahead... then you're always running the risk of getting into the property on time. And getting the valuation back in time.",Valuation Orders, Service Levels SLA, Booking Appointments, Owner-Occupant,,,,
Follow-up discussion on transparent message and indicator on turnaround times for valuation orders as well opportunity to provide contextual message to lenders and brokers on potential delays.,Communication Tools, Valuation Orders, Service Levels SLA, FOLLOW-UP,,,,
"Commented that other delays can be a result on the banks credit approval process on their customers. Sees this as out of the control of valuers and, also commented it was not a seamless process - noting 'we're just part of that process'.",Delays, Banks, Credit Risk, Challenges,,,,
"Asked if lender or brokers are aware of valuer lead times for booking jobs. Commented they should be aware of general lead times - for example, 3- to 4-day turnaround on orders.",Valuation Orders, Booking Appointments, Service Levels SLA, Challenges,,,,
"I think most brokers and lenders are generally aware. And we do get requests, reasonably shortly after the property's sold. But often there's a file which will come through and for whatever reason it's taken too long to get to the valuation firm and then, all of a sudden everything's overdue and delayed, and urgent. And I guess as a val firm everything's urgent so it's really hard for the valuer to put one file [order] over another file. Really, we're just trying to book everything in as soon as we can and get it back [to the lender].",Urgency, Valuation Queries, Challenges,,,,,
Items that cause delays in property access includes getting access to rental properties with tenants. Requesting access can require going through a real estate agent who is managing the rental property. Some agents require valuers to apply for access in writing and this is turn is sent to the tenant (in writing) for approval to gain access to the property for 48 hours in advance.,Delays, Booking Appointments, Agents, Challenges,,,,
Contacting property owners can also be problematic where people are busy and cannot always take phone call while at work if in meetings or engaged.,Owner-Occupant, Booking Appointments, Challenges,,,,,
Commented that refinance loan valuations are generally the easiest as property owners are usually living in their own property and booking access is less of a challenge. Homeowners are usually incentivised to provide access as soon as possible to get to a loan decision sooner with their lender.,Refinance Loans, Booking Appointments, Owner-Occupant,,,,,
