OBSERVATION,TAGS,,,,,,,,,,,,,,,,
Asked if the data would be protected from hackers or bad actors affecting the metric reporting data.,Data, Understanding unclear, Risk, Concern,,,,,,,,,,,,,
"Commented if they could get a dashboard with the following metrics ? reporting by category or search term, available inventory, fill rates, revenue, and other programmatic retail reporting metrics.",Dashboard, Performance metrics, Reporting, Categories, Inventory, Search terms, Fill rates, Revenue,,,,,,,,,
"Their view of a dashboard was a visualisation of performance metric(s), trending over time. Useful when campaigns are optimised in order to see if performances are improving.",Dashboard, Performance metrics, Trends, Campaigns, Optimisations,,,,,,,,,,,,
"I'd be happy with just the basic data, trended [on a dashboard]. And then if we have anything out of the ordinary, we could put a request in [to AdManager].",Expectations, Dashboard, Trends, Support, AdManager,,,,,,,,,,,,
"Monthly cadence of current reporting is based on resource constraints in Coles. There is a huge amount of data that an analyist has to pull, format and then shape into meaningful insights.",Reporting, Limitation, Challenge, Data, Time and Effort, Internal team,,,,,,,,,,,
"At the time of interview Coles were trying to automate some of the data extracts within the Coles Synergy project, where data extracts will run nightly.",Automations, Internal systems, Data, Exports,,,,,,,,,,,,,
Commented we should speak to Stephen [Horne] and also that Coles run a Voice-of-Customer program to help with insights and supplier requests.,Voice of customer, Internal team, Insights, Suppliers,,,,,,,,,,,,,
I think nirvana would be like? we have a database, it pulls from AdManager,,,,,,,,,,,,,,,,
Most of the heavy lift reporting that was discussed in only for assets outside of the AdManager Platform (i.e. will only send Adobe data to suppliers for non-AdManager assets).,Reporting, Assets, Adobe Analytics, Business Operations, Suppliers, AdManager,,,,,,,,,,,
Will see some reporting discrepancies on impression based on whether campaign metrics were set up in Adobe or AdManager. But there is a migration being planned to fix this issue.,Inaccurate, Reporting, Campaigns, Performance metrics, Adobe Analytics, AdManager, Future plan, Internal effort,,,,,,,,,
"Ideally, in the future would want all performance assets, banners, and featured products to be located in AdManager platform. Then sponsorship and high-impact customer campaigns would be catered for through Adobe.",Future needs, Assets, Performance metrics, Products, AdManager, Adobe Analytics, Managed Service,,,,,,,,,,
"Currently more skewed towards (Adobe) Management Centre assets in 'search in aisle’. That is 3 single tiles from 'search in aisle? and 1 that is dedicated to AdManager. Commented once Coles move to OneSite they will be looking to have 4 spots or more allocated to AdManager ? as a mixture of fixed tenancy and bidding campaigns., with impression share following at a later date.",Reporting, Adobe Analytics, Assets, Aisle, AdManager, Internal systems, Future needs, Fixed Tenancy Ads, Auctions, Bids, Campaigns, Impressions,,,,,
"Assets set up in AdManager do have a brand page or a bespoke landing page. Instead, they point out to a generic search results page. A limitation in Coles reporting is they cannot send the search results data from their generic Coles search results page back to AdManager for performance metrics and reporting. However, once a brand page has been set up in AdManager and a tile (ad) is linked to  a brand page then reporting metrics should be available in Adobe Analytics ? provided the Coles unique identifier has been appended to the end of the brand page URL.",Brand pages, AdManager, Limitation, Reporting, Search terms, Data, Performance metrics, Future needs, Adobe Analytics,,,,,,,,
Currently any appending of the Coles unique identifiers to brand pages URL's in Orange Crush is done manually. Looking for an automated self-serve solution in the future for suppliers.,Internal effort, Workaround, Brand pages, Manual effort, Future needs, Automations, Self-serve, Suppliers,,,,,,,,,
"After any migration in the future, Coles would like to replicate any reporting that is available within Adobe to also be mirrored in AdManager, and also be sit within Coles data suite as well so they have certainty of future-proofing their data reporting ? this enables internal Coles reporting as well as supporting a self-managed supplier reporting capability.
",Future needs, Reporting, Integrations, Adobe Analytics, AdManager, Opportunity, Self-serve, Suppliers,,,,,,,,,
Recently prioritised Share of Voice reporting to help understand customer understand Impression share and Click share so they can see where they are ranking.,Priorities, Share of Voice, Reporting, Impressions, Performance metrics, Ranking,,,,,,,,,,,
"DataGrid reporting pulls in HubSpot data so customers can see the suppliers spend, as well as delivery date which reports on the different ad types (e.g. keyword-only ad placements).",DataGrid, HubSpot, Clients (of retailer), Spends, Reporting, Performance metrics,,,,,,,,,,,
"In DataGrid, have aggregated and categories different keywords and placement categories to get more targeted reporting (e.g. Grocery-Beverages-Coffee, or a brands like Coco-Cola).",DataGrid, Business Operations, Categories, Reporting, Internal effort,,,,,,,,,,,,
DataGrid aggregated categories also allows user to see total Ad spend and impression shares are performing for a specific retailer.,DataGrid, Data, Spends, Impressions, Retailers,,,,,,,,,,,,
Brands have also requested reporting to look at specific ?brand Share of voice? (e.g. alcohol brands).,Brands, Reporting, Need or Want, Share of Voice,,,,,,,,,,,,,
Currently brand share reporting is tied to retailers as brand meta data does not exist in the reporting at this time.,Brands, Share of Voice, Retailers, Reporting, Limitation,,,,,,,,,,,,
Share of Voice reporting is only a single retailer view.,Reporting, Share of Voice, Limitation, Retailers,,,,,,,,,,,,,
"Over time would want to be able to look at Share of Voice across all retailers, over time (e.g. for a brand or a supplier looks over time and across different retailers, based on spend).",Future needs, Reporting, Share of Voice, Retailers, Brands, Suppliers, Performance metrics, Spends,,,,,,,,,
Use a namespace filter in DataGrid to pull in reports (e.g. looking at beverages in ?Grocery network? for ?US?).,Namespace, DataGrid, Reporting, Filter,,,,,,,,,,,,,
Most ?managed? DataGrid reports go to the brand.,Managed Service, DataGrid, Brands, Routine,,,,,,,,,,,,,
"Data from HubSpot includes Campaign deal-level details (dates ranges, categories, deal ID, deal name, product IDs, Ad type).",Data, HubSpot, Campaigns, Deals, Insertion Orders, Date related, Categories, Ad Type,,,,,,,,,
"The delivery data comes from another data set (coming from the UI) ? impressions, clicks, Ad spend, sales revenue.",Data, Impressions, Clicks, Spends, Sales, Revenue,,,,,,,,,,,
"Working on new reporting dashboard for brands to highlight missed opportunities (include competitor metrics within categories and campaign performance, including fill rate and category, number of live competitors, impression share, click through rates, CPC, number of categories listed).",Internal effort, Dashboard, Reporting, Missing opportunities, Competitor metrics, Comparative data, Categories, Campaigns, Fill rates, Impressions, CTR, CPC,,,,,
Will use the enhanced attribution dashboard to look at detailed data when looking at missed opportunity revenues.,Attributions, Dashboard, Data, Missing opportunities,,,,,,,,,,,,,
For most retailers will report by 30-day periods (a few retailers will report on 14-day periods).,Reporting, Date range, Retailers,,,,,,,,,,,,,,
Also uses the Attribution dashboard for the retailers to help understand missed opportunity reporting. (emic),Attributions, Reporting, Missing opportunities,,,,,,,,,,,,,,
"Will screen-grab or export the graphs for the clients directly from DataGrid. But for the underlying data (and associated analysis) would first need to export the (filtered) data required from DataGrid and clean-up and format in Excel before sharing on with clients.
",NOTE, DataGrid, Clients (of retailer), Reporting, Workaround, Data, Exports, Analysis, MS Excel, Internal effort,,,,,,,
"But the data behind the scenes, obviously to create insights you have to analysis it. So I would have to export it into Excel and then do some form of analysis before I could share the insights with the client.",Data, MS Excel, DataGrid, Analysis, Exports, Insights, Internal effort, Manual effort,,,,,,,,,
Client sales over time is currently only ?broken out? or displayed by month but clients and CSM's want to have more granular reporting level.,Performance metrics, Clients (of retailer), Future needs, Deeper insights,,,,,,,,,,,,,
"I believe it's like 45 days - we're able to see a weekly view. And then after 45 days it turns into monthly [dashboard view]. And a lot of our campaigns run longer than 45 days. So, it's just not useful for us to look at it at a weekly level.",DataGrid, Limitation, Date related, Frustration,,,,,,,,,,,,,
"Can filter reports by retailer (for brands) to understand their sales, and see product names and ID's associated with a Deal (i.e. an I/O and Wallets are considered line items).",Reporting, Filter, Brands, Deals, Insertion Orders, Wallets, Retailers, Insights,,,,,,,,,
Commented their understanding was limitation in DataGrid was due to how the data is set up (i.e. how are data is stored). Also commented on limitation in trends in the UI ? where expanding view in DataGrid can change the reporting and aggregated durations.,Limitation, DataGrid, Data, Trends, User experience, Not consistent,,,,,,,,,,,
"For reporting, the number of Ads requested can be inflated. So, use a capped ad's number to report on the actual number of ads available (i.e. (Number of ads requests - Total overall impressions for keywords) x Impression Share of Voice for a Deal). This analysis is used at the Deal level but not at the Wallet level (there can be duplication of different Wallets containing specific keywords which could inflate the missed opportunity reporting).",Reporting, Inaccurate, Data, Ads, Workaround, Analysis, Deals,,,,,,,,,,
"Generates Store Attributable Sales reports to provide clients a view of the Point-Of-Sale revenue (and in what stores revenue is occurring, attributable by the media). For in-store reporting the shopper has to show some form of intent before sale is attributed version on an online sale (delivery data) or impression. For the ROAS for individual Wallet performance on the Store Attributable Sales the categories in the dashboard needed to be manually broken out for the reporting. There was no way to break out the products reporting for Store Attributable Sales.",Attributions, Reporting, Point-of-Sale, Revenue, In-store, Consumers or Purchasers, Online, Sales, Impressions, ROAS, Wallets, Limitation, Dashboard, Data, Manual effort,,
"Showed a dashboard Forecasting Tool the US team is currently working on to help sellers understand how much they can spend on certain keywords. The forecasts on 30-day averages and uses data from the Fill Rates data sets, that are managed by the Ops team. Metric reporting looks at the average spots filled; average spots unfilled; capped number of ads requested; delivery & CPC data; and competing suppliers.",Internal team, Dashboard, Forecasting, Spends, Keywords, Date related, Fill rates, Performance metrics, Reporting, Placements, CPC, Competitor metrics, Opportunity,,,,
Want to have individual store and online (by store or granular brand) data.,Need or Want, Deeper insights, Retailers, Reporting,,,,,,,,,,,,,
"Ideal state would be all data sources available in the UI and easily selected and clicked on, as well as being more user-friendly.",Future needs, Data, User experience, Area of improvement,,,,,,,,,,,,,
Would like to be able to break reporting data out by longer and shorter date ranges (including hourly reporting) as this is not available in managed DataGrid reporting at the moment.,Future needs, Reporting, Deeper insights, Date related, Limitation, DataGrid,,,,,,,,,,,
Would be ideal to have weekly and daily view of sales.,Need or Want, Date related, Reporting, Sales,,,,,,,,,,,,,
"Will be looking at developing Attributable Sales further to include top online sales products, and top in-store sales by product (to report on featured products by media).",Internal effort, Attributions, Sales, Reporting, Retailers, Competitor metrics, Media,,,,,,,,,,
Wants to see brand level performance metrics in the UI (especially for Final Metrics Reports given to brands).,Need or Want, Brands, Performance metrics, Reporting, Opportunity,,,,,,,,,,,,
"Reports are broken out by line items because this is the way brands want reporting. The Ops team will also group higher performing keyword metrics into certain Wallets, and mid-level preforming keywords into other Wallets. Brands want to know what is performing [well], and what is not. This helps to understand where you need to allocate more spend into higher performing keywords.",Reporting, Brands, Internal team, Internal effort, Performance metrics, Keywords, Wallets, Need or Want, Clients (of retailer), Future needs, Opportunity, Spends,,,,,
"Brands also wanted exposure of keywords that are not performing so well, but brands still want a presence within certain categories, so bidding is still required for mid-level keywords.",Need or Want, Brands, Keywords, Categories, Bids, Opportunity,,,,,,,,,,,
Brands want to understand what is performing well within a Wallet in relation to a Campaign.,Need or Want, Brands, Performance metrics, Wallets, Campaigns, Opportunity,,,,,,,,,,,
"Campaign budget pacing is mostly handled by the Ops team. But would want to know of any incidence of impacts where pacing was affecting scale or spending of budgets. Pacing issues will usually be mentioned in reports sent to brands, post-campaign.",Campaigns, Budgets, Pacing, Internal team, Need or Want, Impacts, Spends, Reporting, Post-campaign,,,,,,,,
Team uses templates to prepare reports for clients. These are currently being revamped to include upsell opportunities and also advanced analytic metrics (i.e. Share of Lift, the Share Shift,,,,,,,,,,,,,,,,
Lack of ability to report on Brand and Category for retailers.,Reporting, Limitation, Brands, Categories, Retailers,,,,,,,,,,,,
Would need a common product meta data (e.g. UPC) across all retailers to be captured in the DataGrid data before Brand and Category reporting would be available.,Data gap, Need or Want, Products, Meta-data, Retailers, DataGrid, Future needs, Brands, Categories, Reporting,,,,,,,
"Currently will manually add and filter on keyword search terms to try and work out the required categories for Share of Voice reporting, but would prefer if categories and sub-categories were explicitly broken out in selectable filters within DataGrid to save on manually searching for them.",Manual effort, Filter, Keywords, Search terms, Categories, Share of Voice, Reporting, Need or Want, Deeper insights, DataGrid, Opportunity,,,,,,
"Commented on a recent target request to provide category-level benchmarks. This was possible for Target as they have categories associated with their products. However, if Grocery One wanted to see category benchmarks then this would be difficult as there are no product ID's associated with categories.",Requests, Categories, Benchmarking, Challenge, Not consistent, Products, Data gap,,,,,,,,,,
"For the Final Metrics Reports (e.g. showed Pepsico) where multiple brands are featured, the report currently combined all the brand metrics together (i.e. aggregates the data). This makes it difficult where there will be different leads for each of the brands and they are looking for the individual reporting metrics for each brand ? by product performance, keyword performance, SKU performance, campaign performance, etc. This means the US team needs to do a lot of data pulls from DataGrid to separate and aggregate the data for the report in Excel. (emic)",Reporting, Data gap, Challenge, Brands, Limitation, Difficulty, Performance metrics, Internal effort, DataGrid, Data, Keywords, SKU, Campaigns, Internal team, Exports, MS Excel, Manual effort
Lots of manual work to create Final Metric Reports for all the US brands.,Manual effort, Reporting, Brands, Internal effort,,,,,,,,,,,,,
Forecasting report takes the number of months for a campaign and multiplies this by holiday or non-holiday timing (depending on need for aggressive CPC or just ?middle of the pack? for bids). And this will forecast the spend required ? or a suggested budget for future campaigns.,Forecasting, Reporting, Date related, Campaigns, Spends, Advising,,,,,,,,,,,
"Commented that brands typically spend up to 20% during holiday timings. For example, October, November and December timing.",Brands, Season-related, Spends,,,,,,,,,,,,,,
"Walked through the Cap Out Report that looks at wallets and it displays if campaigns are ?capping out?, which indicates a client does not have enough spend-per-day to purchase bids. Clients have a budget per wallet and this ?rolls up to a deal?. The report shows what hour of the day the budget is capping out, and this indicates missed opportunities.",Daily Cap limit, Reporting, Clients (of retailer), Budgets, Spends, Wallets, Missing opportunities,,,,,,,,,,
The Ops team will be using the Cap Out Report for all clients going forward.,Internal team, Routine, Reporting, Daily Cap limit, Clients (of retailer),,,,,,,,,,,,
Asked if they could share the US reporting playbook with AdManager office.,FOLLOW-UP, Internal team, AdManager,,,,,,,,,,,,,,
"It is extremely user-friendly I will say, for me. I enjoy it and it's great you can manipulate it to get the data that you need.",DataGrid, Feedback positive, Data, Value or Belief,,,,,,,,,,,,,
"For majority of CSM's relationship with brands, at pre-flight stage is linked more to the sales.",CSM's, Routine, Brands, Planning, Sales,,,,,,,,,,,,
Conversations with brands tend to focus on getting info about the platform and not necessarily what they should be spending. CSM's are not involved in every booking that happens on the platform.,Brands, Advising, Spends, AdManager, Bookings, Insights,,,,,,,,,,,
There are a lot of question around Halo reporting from suppliers with considered purchases. Wanted to know if other suppliers were asking about this too.,Clients (of retailer), Requests, Halo effect, Reporting, Suppliers,,,,,,,,,,,,
"How do we account for Halo-effected products, product ranges? In some instances, it would be useful just from? For example, we work with a company here called Argos. They have technology and all sorts of stuff. They don't have like a parent-child SKU cascade. So, if I click on silver products and buy a pink product elsewhere, it doesn't attribute. And I think some of our suppliers are coming through with the question around Halo. I've spoken to Nick (and stuff) in the past about it and was just wondering if that's [similar] feedback you're getting. That's something we might attribute in.",Halo effect, Products, Attributions, Parent-Child, SKU, Requests,,,,,,,,,,,
Commented Halo attribution was probably not needed for FMCG (Fast Moving Consumer Goods),Halo effect, Attributions, FMCG, Understanding unclear,,,,,,,,,,,,,
Commented we may need to consider attribution as we move into serving other industries.,Need or Want, Attributions, Opportunity, Future needs,,,,,,,,,,,,,
Gave example of electric goods suppliers are looking for Halo effect attribution window for buyers making purchases within ranges. ,Clients (of retailer), Halo effect, Need or Want, Consumers or Purchasers, Behaviours and habits,,,,,,,,,,,,
Noted Argos use a 30-day period for halo effect,Retailers, Halo effect,,,,,,,,,,,,,,,
"I hear some people compare our data to like, Amazon data. And I always have to like, caveat that we are not? We are one-to-one attribution. This is sort of a much better way of doing things. It would be, again nice to have that like, option if that's their mindset in the way they [suppliers] think about things.",Clients (of retailer), Expectations, AdManager, Data, Amazon, Mental Model, Knowledge gap,,,,,,,,,,
"Suppliers wanted DataGrid to be able to display the average Cost Per Click (CPC) of specific categories, over the past few days.",Suppliers, DataGrid, CPC, Categories, Need or Want,,,,,,,,,,,,
"Retailers wanted to see Year-on-Year (YoY) reporting from DataGrid, as well as week to week reporting of [spend or brand] percentages and wallets up or down easily accessible ?at their finger-tips?.",Retailers, Need or Want, Reporting, Date related, DataGrid, Spends, Brands, Wallets,,,,,,,,,
"Retailers wanted granular data on ad placement performance (mentioned Argos as an example where no ad placements were running on their home page for a number of weeks and they wanted the data to help understand why this had occurred). The data can be retrieved in DataGrid if you look for it, but ?it's not obvious?.",Retailers, Need or Want, Deeper insights, Data, Placements, Performance metrics, Missing opportunities, DataGrid, Difficulty,,,,,,,,
Ad placement performance can easily go un-noticed as the data is not available on the DataGrid homepage dashboard.,Placements, Performance metrics, Data, DataGrid, Data gap,,,,,,,,,,,,
"Wanted to see metrics by category on the dashboard, for retailers and suppliers.",Need or Want, Performance metrics, Categories, Dashboard, Retailers, Suppliers,,,,,,,,,,,
An uplift report that provides retailers with current and previous year comparisons would be helpful. A simple metric to see percentage drops or increases would be ideal.,Reporting, Retailers, Date related, Comparative data, Need or Want, Missing opportunities,,,,,,,,,,,
"Commented that they understood that DataGrid can provide Traffic Percentage Share metric but was unclear how to get this metric. Wanted to be able to see Share metrics by categories, campaigns and also by brands as this would provide opportunities to drill down a lot more into the data.",DataGrid, Performance metrics, Traffic, Understanding unclear, Data, Need or Want, Share of Voice, Categories, Campaigns, Brands, Deeper insights,,,,,,
Commented they used data from the Admin Panel to understand what proportion of (share) traffic suppliers reach within certain categories. Has not tried to do in DataGrid as thinks there is no real category break downs to support share traffic.,Data, Performance metrics, Traffic, Suppliers, Categories, DataGrid, Limitation, Understanding unclear,,,,,,,,,
Commented on issues when trying to get more detailed metrics for retailers because of how they define their data. Example given was Sainsbury's who define their categories by codes (e.g. ?6972?) and not words. This makes it difficult to relate a code back to a category keyword.,Issues, Data, Retailers, Not consistent, Business Operations, Difficulty,,,,,,,,,,,
"Commented on a good example that has been built into the Nectar 360 instance of DataGrid that provides metric reporting to compare by day, week, month, quarter, and year. And these metrics can also be compared to previous years. Doesn't think this setup has been copied over into the main DataGrid instance (used by most retailers).",FOLLOW-UP, DataGrid, Performance metrics, Need or Want, Comparative data, Reporting, Date related, Understanding unclear,,,,,,,,,
Provide regular Month-on-Month reporting for retailers but would like to also provide granular YoY reporting too.,Routine, Reporting, Retailers, Future needs, Data,,,,,,,,,,,,
Commented the main instance of DataGrid on provides data going back 13 months. The only way (?work-around?) to compare YoY results is accomplished from records that were exported from DataGrid to Excel during the previous year. Client is solely focused on YoY growth so are looking to have the number of previous months extended to support YoY reporting directly within DataGrid.,DataGrid, Data, Limitation, Date related, Comparative data, Need or Want, Internal effort, Exports, MS Excel, Clients (of retailer),,,,,,,
"Client also wants to be able to see total Ad spend since tech data were running (over a number of months) as well as YoY, so was looking for help to support this.",Clients (of retailer), Need or Want, Ads, Spends, Date related, Support, Challenge,,,,,,,,,,
"You can download all the DataGrid data into CSV reports. However, if you have a lot of campaigns running then this means there is a huge number of reports to format and distil to gain insights from.",DataGrid, Exports, MS Excel, Reporting, Challenge, Clients (of retailer), Manual effort,,,,,,,,,,
Commented on normal practice of agencies offering services for analysis and reporting and managing supplier or brand data. Wanted AdManager to provide the ability to get campaign and spend insights so clients would not need to hire agencies to do the work.,Routine, Agencies, Analysis, Reporting, Data, Retailers, Brands, Need or Want, AdManager, Campaigns, Spends, Insights, Opportunity, Future needs,,,
"There are some instances where I?m sure, you know if it was one product who's got 10 campaigns - rather than a Unilever who've got hundreds and hundreds - there might be a view that we can actually make it a lot easier for them.",Routine, Campaigns, Products, Brands, Challenge,,,,,,,,,,,,
"I get asked this every day in my entire tech data career. Is there some way of having a notification for when a campaign has run from, and till? So, at the moment I have to do a naming convention. Basically, whenever I make a campaign. If I made one today, I would call it ?DataGrid Reporting 1st of Feb?. Obviously, that's just the ones I create; it's not universal. There's no way of seeing on our platform when a campaign was started and when it finished without playing around with the toggle for the date range. I get asked that every single day.",Requests, Need or Want, Alerts or Notifications, Campaigns, Budgets, Limitation, Workaround, Difficulty,,,,,,,,,
"Commented they would prefer to see clear campaign start and end dates in the platform rather than trying to build that view only in DataGrid, and this would also satisfy a lot of clients.",Need or Want, AdManager, Campaigns, Date related, Data gap, Internal team, DataGrid, Manual effort, Clients (of retailer),,,,,,,,
Wanted to have more than 180 days reporting within the platform. Brands regularly ask for this.,Need or Want, AdManager, Limitation, Date related, Reporting, Brands, Requests,,,,,,,,,,
"Commented that recently they noticed within the platform that looking at a single placement (e.g. cross-sell), the total spend and averages of impressions, clicks and impressions are missing. These metrics are visible when looking at a view of all placements. This is problematic where some clients want to know the spend amount on specific cross-sell campaigns or up-sell. In this instance (for specific cross-sell or upsell campaigns) would need to export the data to CSV and format it for the client.",AdManager, Data gap, Cross-Sell, Impressions, Difficulty, Spends, Performance metrics, Issues, Exports, MS Excel, Manual effort, Internal effort,,,,,
"Would be ideal to be able to get a snapshot view on different placement types, so you could easily filter out placements like cross-sell for retailers to see what the impression rates were like. This would make it easy to see any drops in ROAS.",Need or Want, Performance metrics, Placements, Ads, Filter, Cross-Sell, Retailers, Impressions, ROAS, Future needs,,,,,,,
"Common retail and supplier customers request was to have reporting on who amended a campaign. This includes date of request and changes, change requests, editor, approval names and responses, etc.",FOLLOW-UP, Reporting, Campaigns, Audits,,,,,,,,,,,,,
Because a lot of it [changes and approvals] is subject to human decision ? my decision of what goes together might be different to your decision. And then if something [a change] gets made - they add a SKU or remove a SKU ? it goes back into that process and then someone else might reject it.,Approvals, Challenge, Internal team, Campaigns,,,,,,,,,,,,,
Commented that approval process has improved greatly with the removal of the re-approval process for CPC changes or budget changes. ,Approvals, CPC, Feedback positive, AdManager, Budgets,,,,,,,,,,,,
"Commented there used to be a way to see the how many campaigns per Team existed within the Campaign manager, but this features now appears to be missing. The clients need to toggle the pages in order to now see this information.",Campaigns, Team (AdManager), AdManager, Difficulty, User experience, Need or Want,,,,,,,,,,,
"WD created 88 hard drive campaigns and then they wanted to pause some and then find out how many were actively running and how many were paused. Which previously would have been a one second job. But I had to manually go through the [page] toggle and count them. So, if there's any way, we can get that put back in, or if there was some sort of reporting feature which just said how many campaigns are in your team and live. That would be good.",Manual effort, Campaigns, Reporting, Need or Want,,,,,,,,,,,,,
"Commented on feedback from Nectar 360 where campaigns does not provide page numbers currently, so it is difficult for client to understand which page they have just approved.",Limitation, Campaigns, Approvals, Clients (of retailer), Understanding unclear, AdManager,,,,,,,,,,,
Commented it would be good if suppliers could see a high-level summary of their spends and budgets without having to drill down into the data as it's not always clear or visible of the spends amounts.,Area of improvement, Suppliers, Spends, Budgets, Manual effort, Data, Understanding unclear, Difficulty,,,,,,,,,
"Having an ability to look at category performances, for example, with a wider lens would be helpful.",Need or Want, Categories, Performance metrics, Area of improvement,,,,,,,,,,,,,
Clients really like benchmarking performances.,Clients (of retailer), Need or Want, Benchmarking, Performance metrics, Preference,,,,,,,,,,,,
"Retailer clients can see what has been booked into the platform, but it is not easy for them to what spots are left to in the platform that could be booked. Retailers do not always understand what potential opportunities are available (i.e. opening up more ad spots).",Clients (of retailer), AdManager, Difficulty, Ads, Bookings, Understanding unclear, Retailers, Missing opportunities,,,,,,,,,
"Retailers can see potential opportunities, but this requires exporting all the wallet and generating a wallet balance report to see balances across all teams.",Retailers, Opportunity, Internal effort, Exports, Manual effort, Wallets, Team (AdManager),,,,,,,,,,
"Nectar 360 do feedback [to suppliers] quite a lot. [one example] If they've got a million pound in wallets. Unless they can spend it ?rapid fire? in the next 4 weeks - when their financial end -  they're going to lose a million pound. But they need to visibility to see supplier XYZ has got X amount of money. And that means the Managed Service can optimise it or their internal sales team can go back and say ?Look, we've got all this budget. Why don't we spend it on testing and learning, and stuff??",Reporting, Suppliers, Wallets, Spends, Challenge, Managed Service, In-House, Opportunity, Budgets,,,,,,,,
"Want better ways to support retailers and brands/supplier to understand and help spend budgets where ad spots are available, especially where wallets with funds are not being used. Wants a way to support the retailers and brands to spend unused budgets.",Need or Want, Support, Retailers, Brands, Suppliers, Knowledge gap, Spends, Budgets, Ads, Missing opportunities, Area of improvement,,,,,,
"I've had it a couple of times where I've been looking at, like weekly and daily spends to try and calculate if they've got a fixed budget like $4k for the quarter. Like making sure they spend it within that time. Like it's a bit of a faff [tricky or ordeal] at the moment looking at weekly spends and trying to calculate off the top of your head whether that's going to last the months or if you need to increase their activity - more placements, et cetera.",Monitor, Spends, Budgets, Opportunity, Clients (of retailer), Missing opportunities,,,,,,,,,,,
